C,R,W,ConversionGain,NoiseFigure,VoltageSwing
1e-13,220,1.6e-05,-18.48,8.139,0.001575
1e-13,220,1.7e-05,-19.31,8.185,0.001566
1e-13,220,1.8e-05,-20.29,8.242,0.001547
1e-13,220,1.9e-05,-21.48,8.308,0.001536
1e-13,220,2.1e-05,-24.25,8.467,0.001509
1e-13,220,2.2e-05,-26.25,8.559,0.001465
1e-13,220,2.3e-05,-27.79,8.66,0.001469
1e-13,220,2.4e-05,-31.09,8.768,0.001452
1e-13,220,2.5e-05,-34.78,8.886,0.001437
1e-13,220,2.6e-05,-37.56,9.012,0.001417
1e-13,220,2.7e-05,-35.65,9.149,0.001377
1e-13,220,2.8e-05,-32.28,9.296,0.001382
1e-13,220,2.9e-05,-30.07,9.457,0.001362
1e-13,220,3e-05,-27.96,9.631,0.001327
1e-13,230,2e-05,-22.66,8.313,0.00153
1e-13,230,1.3e-05,-2.328,8.001,0.001613
1e-13,230,1.4e-05,-11.27,8.008,0.001603
1e-13,230,1.5e-05,-17.94,8.03,0.001596
1e-13,230,1.6e-05,-18.53,8.066,0.001584
1e-13,230,1.7e-05,-19.36,8.113,0.001575
1e-13,230,1.8e-05,-20.35,8.171,0.001562
1e-13,230,1.9e-05,-21.55,8.238,0.001546
1e-13,230,2.1e-05,-24.33,8.397,0.001517
1e-13,230,2.2e-05,-26.35,8.49,0.001474
1e-13,230,2.3e-05,-27.9,8.59,0.00148
1e-13,230,2.4e-05,-31.22,8.699,0.001468
1e-13,230,2.5e-05,-34.85,8.816,0.00144
1e-13,230,2.6e-05,-37.34,8.943,0.001428
1e-13,230,2.7e-05,-35.27,9.079,0.001385
1e-13,230,2.8e-05,-32.03,9.227,0.001392
1e-13,230,2.9e-05,-29.88,9.387,0.001369
1e-13,230,3e-05,-27.84,9.561,0.001336
1e-13,240,2e-05,-22.73,8.248,0.001539
1e-13,240,1.3e-05,-2.349,7.93,0.001621
1e-13,240,1.4e-05,-11.25,7.938,0.001618
1e-13,240,1.5e-05,-17.98,7.961,0.001605
1e-13,240,1.6e-05,-18.58,7.998,0.001594
1e-13,240,1.7e-05,-19.41,8.046,0.001581
1e-13,240,1.8e-05,-20.41,8.104,0.001569
1e-13,240,1.9e-05,-21.61,8.172,0.001556
1e-13,240,2.1e-05,-24.42,8.332,0.001529
1e-13,240,2.2e-05,-26.46,8.425,0.001483
1e-13,240,2.3e-05,-28.01,8.526,0.00149
1e-13,240,2.4e-05,-31.33,8.634,0.001475
1e-13,240,2.5e-05,-34.9,8.752,0.00145
1e-13,240,2.6e-05,-37.11,8.879,0.001431
1e-13,240,2.7e-05,-34.92,9.015,0.001394
1e-13,240,2.8e-05,-31.79,9.162,0.001398
1e-13,240,2.9e-05,-29.71,9.322,0.001379
1e-13,240,3e-05,-27.72,9.495,0.001341
1e-13,250,1.3e-05,-2.368,7.863,0.001631
1e-13,250,1.4e-05,-11.22,7.873,0.001627
1e-13,250,1.5e-05,-18.02,7.897,0.001614
1e-13,250,1.6e-05,-18.62,7.934,0.001603
1e-13,250,1.7e-05,-19.46,7.983,0.001592
1e-13,250,1.8e-05,-20.46,8.042,0.001579
1e-13,250,1.9e-05,-21.68,8.11,0.001562
1e-13,250,2.1e-05,-24.49,8.271,0.001534
1e-13,250,2.2e-05,-26.55,8.364,0.001491
1e-13,250,2.3e-05,-28.08,8.465,0.001497
1e-13,250,2.4e-05,-31.43,8.574,0.001478
1e-13,250,2.5e-05,-34.92,8.692,0.001462
1e-13,250,2.6e-05,-36.89,8.818,0.001444
1e-13,250,2.7e-05,-34.61,8.954,0.001401
1e-13,250,2.8e-05,-31.58,9.102,0.001405
1e-13,250,2.9e-05,-29.37,9.261,0.001386
1e-13,250,3e-05,-27.48,9.434,0.001348
1e-13,260,2e-05,-22.96,8.129,0.001551
1e-13,260,1.3e-05,-2.386,7.801,0.00164
1e-13,260,1.4e-05,-11.2,7.811,0.001635
1e-13,260,1.5e-05,-18.06,7.837,0.001621
1e-13,260,1.6e-05,-18.66,7.875,0.001613
1e-13,260,1.7e-05,-19.51,7.924,0.001601
1e-13,260,1.8e-05,-20.51,7.984,0.001584
1e-13,260,1.9e-05,-21.73,8.052,0.001573
1e-13,260,2.1e-05,-24.57,8.214,0.001537
1e-13,260,2.2e-05,-26.64,8.308,0.001499
1e-13,260,2.3e-05,-28.34,8.409,0.001506
1e-13,260,2.4e-05,-31.52,8.518,0.001484
1e-13,260,2.5e-05,-34.94,8.636,0.001471
1e-13,260,2.6e-05,-36.69,8.762,0.001447
1e-13,260,2.7e-05,-34.32,8.898,0.001408
1e-13,260,2.8e-05,-31.39,9.045,0.001414
1e-13,260,2.9e-05,-29.23,9.204,0.001392
1e-13,260,3e-05,-27.39,9.377,0.001353
1e-13,270,2e-05,-23.02,8.076,0.001566
1e-13,270,1.3e-05,-2.405,7.743,0.001651
1e-13,270,1.4e-05,-11.18,7.754,0.001643
1e-13,270,1.5e-05,-18.09,7.78,0.00163
1e-13,270,1.6e-05,-18.7,7.819,0.00162
1e-13,270,1.7e-05,-19.55,7.869,0.001607
1e-13,270,1.8e-05,-20.56,7.929,0.001593
1e-13,270,1.9e-05,-21.79,7.998,0.001579
1e-13,270,2.1e-05,-24.63,8.161,0.001548
1e-13,270,2.2e-05,-26.72,8.255,0.001506
1e-13,270,2.3e-05,-28.42,8.356,0.001514
1e-13,270,2.4e-05,-31.58,8.465,0.001493
1e-13,270,2.5e-05,-34.94,8.583,0.001476
1e-13,270,2.6e-05,-36.47,8.709,0.001454
1e-13,270,2.7e-05,-34.07,8.845,0.001415
1e-13,270,2.8e-05,-31.21,8.992,0.00142
1e-13,270,2.9e-05,-29.11,9.151,0.001397
1e-13,270,3e-05,-27.3,9.324,0.001361
1e-13,280,2e-05,-23.07,8.025,0.001572
1e-13,280,1.3e-05,-2.422,7.688,0.001655
1e-13,280,1.4e-05,-11.16,7.7,0.001649
1e-13,280,1.5e-05,-18.13,7.727,0.001639
1e-13,280,1.6e-05,-18.73,7.767,0.00163
1e-13,280,1.7e-05,-19.59,7.817,0.001616
1e-13,280,1.8e-05,-20.6,7.878,0.0016
1e-13,280,1.9e-05,-21.84,7.947,0.001588
1e-13,280,2.1e-05,-24.7,8.111,0.001554
1e-13,280,2.2e-05,-26.8,8.205,0.001513
1e-13,280,2.3e-05,-28.5,8.306,0.001517
1e-13,280,2.4e-05,-31.62,8.415,0.001504
1e-13,280,2.5e-05,-34.94,8.533,0.00148
1e-13,280,2.6e-05,-36.27,8.66,0.001467
1e-13,280,2.7e-05,-33.83,8.795,0.001421
1e-13,280,2.8e-05,-31.05,8.942,0.001424
1e-13,280,2.9e-05,-28.99,9.101,0.001396
1e-13,280,3e-05,-27.21,9.273,0.001368
1e-13,290,2e-05,-23.13,7.977,0.001575
1e-13,290,1.3e-05,-2.439,7.636,0.001666
1e-13,290,1.4e-05,-11.14,7.649,0.001658
1e-13,290,1.5e-05,-18.16,7.677,0.001648
1e-13,290,1.6e-05,-18.77,7.717,0.001637
1e-13,290,1.7e-05,-19.63,7.768,0.001622
1e-13,290,1.8e-05,-20.64,7.829,0.001609
1e-13,290,1.9e-05,-21.89,7.899,0.001591
1e-13,290,2.1e-05,-24.75,8.064,0.001562
1e-13,290,2.2e-05,-26.87,8.158,0.001519
1e-13,290,2.3e-05,-28.57,8.259,0.001527
1e-13,290,2.4e-05,-31.67,8.369,0.00151
1e-13,290,2.5e-05,-34.92,8.486,0.001488
1e-13,290,2.7e-05,-33.62,8.749,0.001427
1e-13,290,2.8e-05,-30.89,8.895,0.001431
1e-13,290,2.9e-05,-28.88,9.054,0.001405
1e-13,290,3e-05,-27.13,9.226,0.001373
1e-13,300,2e-05,-23.17,7.933,0.001587
1e-13,300,1.3e-05,-2.455,7.587,0.001672
1e-13,300,1.4e-05,-11.13,7.601,0.001664
1e-13,300,1.5e-05,-18.19,7.629,0.001655
1e-13,300,1.6e-05,-18.8,7.671,0.001641
1e-13,300,1.7e-05,-19.67,7.722,0.001629
1e-13,300,1.8e-05,-20.68,7.784,0.001614
1e-13,300,1.9e-05,-21.93,7.854,0.0016
1e-13,300,2.1e-05,-24.81,8.019,0.001566
1e-13,300,2.2e-05,-26.94,8.113,0.001525
1e-13,300,2.3e-05,-28.63,8.215,0.001531
1e-13,300,2.4e-05,-31.7,8.325,0.001514
1e-13,300,2.5e-05,-34.89,8.442,0.00149
1e-13,300,2.6e-05,-35.78,8.568,0.001474
1e-13,300,2.7e-05,-33.42,8.704,0.001433
1e-13,300,2.8e-05,-30.75,8.851,0.001437
1e-13,300,2.9e-05,-28.78,9.009,0.00141
1e-13,300,3e-05,-27.06,9.181,0.001385
1e-13,310,2e-05,-23.22,7.89,0.001587
1e-13,310,1.3e-05,-2.471,7.541,0.001679
1e-13,310,1.4e-05,-11.11,7.556,0.001671
1e-13,310,1.5e-05,-18.22,7.585,0.001661
1e-13,310,1.6e-05,-18.82,7.626,0.001648
1e-13,310,1.7e-05,-19.7,7.679,0.001636
1e-13,310,1.8e-05,-20.72,7.741,0.001623
1e-13,310,1.9e-05,-21.98,7.811,0.001607
1e-13,310,2.1e-05,-24.86,7.977,0.001577
1e-13,310,2.2e-05,-27.0,8.071,0.001531
1e-13,310,2.3e-05,-28.69,8.173,0.001537
1e-13,310,2.4e-05,-31.73,8.283,0.001515
1e-13,310,2.5e-05,-34.73,8.4,0.001497
1e-13,310,2.6e-05,-35.6,8.527,0.001485
1e-13,310,2.7e-05,-33.23,8.663,0.001438
1e-13,310,2.8e-05,-30.62,8.809,0.001441
1e-13,310,2.9e-05,-28.69,8.967,0.001421
1e-13,310,3e-05,-26.86,9.137,0.001382
1e-13,320,2e-05,-23.26,7.85,0.001598
1e-13,320,1.3e-05,-2.485,7.497,0.001687
1e-13,320,1.4e-05,-11.1,7.513,0.001678
1e-13,320,1.5e-05,-18.24,7.542,0.001667
1e-13,320,1.6e-05,-18.85,7.584,0.001655
1e-13,320,1.7e-05,-19.74,7.637,0.001646
1e-13,320,1.8e-05,-20.76,7.7,0.001628
1e-13,320,1.9e-05,-22.02,7.771,0.001613
1e-13,320,2.1e-05,-24.91,7.937,0.00158
1e-13,320,2.2e-05,-27.06,8.032,0.001536
1e-13,320,2.3e-05,-28.75,8.134,0.001544
1e-13,320,2.4e-05,-31.76,8.243,0.001524
1e-13,320,2.5e-05,-34.69,8.361,0.001501
1e-13,320,2.6e-05,-35.44,8.487,0.00149
1e-13,320,2.7e-05,-33.06,8.623,0.001443
1e-13,320,2.8e-05,-30.5,8.77,0.001445
1e-13,320,2.9e-05,-28.6,8.928,0.001425
1e-13,320,3e-05,-26.79,9.097,0.001387
1e-13,330,2e-05,-23.31,7.812,0.001599
1e-13,330,1.3e-05,-2.499,7.456,0.001692
1e-13,330,1.4e-05,-11.09,7.472,0.001683
1e-13,330,1.5e-05,-18.27,7.502,0.00167
1e-13,330,1.6e-05,-18.87,7.545,0.001663
1e-13,330,1.7e-05,-19.77,7.598,0.001651
1e-13,330,1.8e-05,-20.79,7.661,0.001632
1e-13,330,1.9e-05,-22.06,7.732,0.001617
1e-13,330,2.1e-05,-24.96,7.899,0.001582
1e-13,330,2.2e-05,-27.11,7.994,0.001541
1e-13,330,2.3e-05,-28.8,8.096,0.001547
1e-13,330,2.4e-05,-31.86,8.206,0.001524
1e-13,330,2.5e-05,-34.65,8.324,0.00151
1e-13,330,2.6e-05,-35.29,8.45,0.001485
1e-13,330,2.7e-05,-32.9,8.586,0.001448
1e-13,330,2.8e-05,-30.38,8.732,0.001453
1e-13,330,2.9e-05,-28.52,8.89,0.001425
1e-13,330,3e-05,-26.72,9.059,0.001392
1e-13,340,2e-05,-23.35,7.776,0.001606
1e-13,340,1.3e-05,-2.511,7.416,0.001699
1e-13,340,1.4e-05,-11.08,7.433,0.001686
1e-13,340,1.5e-05,-18.29,7.464,0.001679
1e-13,340,1.6e-05,-18.9,7.507,0.001665
1e-13,340,1.7e-05,-19.8,7.561,0.001655
1e-13,340,1.8e-05,-20.82,7.624,0.001636
1e-13,340,1.9e-05,-22.1,7.696,0.001619
1e-13,340,2.1e-05,-25.0,7.863,0.001586
1e-13,340,2.2e-05,-27.17,7.958,0.00157
1e-13,340,2.3e-05,-28.85,8.06,0.001554
1e-13,340,2.4e-05,-31.88,8.171,0.001529
1e-13,340,2.5e-05,-34.61,8.288,0.001511
1e-13,340,2.6e-05,-35.14,8.415,0.001497
1e-13,340,2.7e-05,-32.75,8.55,0.001452
1e-13,340,2.8e-05,-30.28,8.697,0.001458
1e-13,340,2.9e-05,-28.44,8.854,0.001427
1e-13,340,3e-05,-26.66,9.023,0.001397
1e-13,350,2e-05,-23.38,7.741,0.001613
1e-13,350,1.3e-05,-2.523,7.379,0.001703
1e-13,350,1.4e-05,-11.07,7.396,0.001694
1e-13,350,1.5e-05,-18.32,7.428,0.001683
1e-13,350,1.6e-05,-18.92,7.471,0.001672
1e-13,350,1.7e-05,-19.83,7.526,0.001661
1e-13,350,1.9e-05,-22.13,7.661,0.001627
1e-13,350,2.1e-05,-25.05,7.829,0.001596
1e-13,350,2.2e-05,-27.22,7.924,0.001567
1e-13,350,2.3e-05,-28.89,8.027,0.001557
1e-13,350,2.4e-05,-31.89,8.137,0.001539
1e-13,350,2.5e-05,-34.56,8.254,0.001514
1e-13,350,2.6e-05,-35.0,8.381,0.001497
1e-13,350,2.7e-05,-32.61,8.517,0.001456
1e-13,350,2.8e-05,-30.17,8.663,0.001459
1e-13,350,2.9e-05,-28.37,8.82,0.001432
1e-13,350,3e-05,-26.6,8.989,0.001401
1e-13,360,2e-05,-23.42,7.709,0.001615
1e-13,360,1.3e-05,-2.535,7.343,0.001707
1e-13,360,1.4e-05,-11.06,7.361,0.001699
1e-13,360,1.5e-05,-18.34,7.393,0.00169
1e-13,360,1.6e-05,-18.95,7.437,0.001677
1e-13,360,1.7e-05,-19.85,7.492,0.001662
1e-13,360,1.8e-05,-20.94,7.556,0.00165
1e-13,360,1.9e-05,-22.17,7.628,0.001631
1e-13,360,2.1e-05,-25.09,7.797,0.001599
1e-13,360,2.2e-05,-27.27,7.892,0.001578
1e-13,360,2.3e-05,-28.93,7.994,0.00156
1e-13,360,2.4e-05,-31.91,8.105,0.001544
1e-13,360,2.5e-05,-34.51,8.222,0.001519
1e-13,360,2.6e-05,-34.87,8.349,0.001497
1e-13,360,2.7e-05,-32.48,8.485,0.001461
1e-13,360,2.8e-05,-30.08,8.63,0.001464
1e-13,360,2.9e-05,-28.3,8.788,0.001441
1e-13,360,3e-05,-26.54,8.957,0.001409
1e-13,370,2e-05,-23.45,7.678,0.00162
1e-13,370,1.3e-05,-2.545,7.309,0.001713
1e-13,370,1.4e-05,-11.05,7.327,0.001706
1e-13,370,1.5e-05,-18.36,7.36,0.001693
1e-13,370,1.6e-05,-18.97,7.405,0.001681
1e-13,370,1.7e-05,-19.88,7.46,0.001672
1e-13,370,1.8e-05,-20.97,7.524,0.001652
1e-13,370,1.9e-05,-22.2,7.597,0.001636
1e-13,370,2.1e-05,-25.12,7.766,0.001603
1e-13,370,2.2e-05,-27.31,7.861,0.001559
1e-13,370,2.3e-05,-28.97,7.964,0.001566
1e-13,370,2.4e-05,-31.92,8.074,0.001546
1e-13,370,2.5e-05,-34.46,8.192,0.001522
1e-13,370,2.6e-05,-34.74,8.318,0.001504
1e-13,370,2.7e-05,-32.36,8.454,0.001465
1e-13,370,2.8e-05,-29.99,8.6,0.00147
1e-13,370,2.9e-05,-28.23,8.757,0.00144
1e-13,370,3e-05,-26.49,8.926,0.001407
1e-13,380,2e-05,-23.49,7.648,0.001624
1e-13,380,1.3e-05,-2.555,7.276,0.00172
