Vgate,Vbias,VDD,W1,W2,Bandwidth,DCPowerConsumption,VoltageGain
0.8,0.7,1.2,5.5e-05,6e-06,16000000000.0,0.000379,-2.393
0.8,0.7,1.2,5.5e-05,7e-06,17000000000.0,0.00044,-2.406
0.8,0.7,1.2,5.5e-05,8e-06,17800000000.0,0.0005,-2.419
0.8,0.7,1.2,5.75e-05,5e-06,14100000000.0,0.000318,-2.377
0.8,0.7,1.2,5.75e-05,2e-06,8430000000.0,0.000131,-2.327
0.8,0.7,1.2,5.75e-05,3e-06,10700000000.0,0.000194,-2.346
0.8,0.7,1.2,5.75e-05,4e-06,12700000000.0,0.000256,-2.363
0.8,0.7,1.2,5.75e-05,6e-06,15200000000.0,0.000379,-2.39
0.8,0.7,1.2,5.75e-05,7e-06,16100000000.0,0.00044,-2.402
0.8,0.7,1.2,5.75e-05,8e-06,16800000000.0,0.000501,-2.414
0.8,0.7,1.2,6e-05,5e-06,13400000000.0,0.000318,-2.374
0.8,0.7,1.2,6e-05,2e-06,8050000000.0,0.000131,-2.326
0.8,0.7,1.2,6e-05,3e-06,10300000000.0,0.000194,-2.344
0.8,0.7,1.2,6e-05,4e-06,12000000000.0,0.000257,-2.36
0.8,0.7,1.2,6e-05,6e-06,14500000000.0,0.00038,-2.387
0.8,0.7,1.2,6e-05,7e-06,15300000000.0,0.000441,-2.399
0.8,0.7,1.2,6e-05,8e-06,16000000000.0,0.000501,-2.41
0.8,0.7,1.1,5e-05,5e-06,16200000000.0,0.000289,-2.393
0.8,0.7,1.1,5e-05,2e-06,9580000000.0,0.000119,-2.338
0.8,0.7,1.1,5e-05,3e-06,12400000000.0,0.000176,-2.359
0.8,0.7,1.1,5e-05,4e-06,14600000000.0,0.000233,-2.377
0.8,0.7,1.1,5e-05,6e-06,17600000000.0,0.000344,-2.407
0.8,0.7,1.1,5e-05,7e-06,18700000000.0,0.000399,-2.422
0.8,0.7,1.1,5e-05,8e-06,19800000000.0,0.000454,-2.436
0.8,0.7,1.1,4e-05,5e-06,20600000000.0,0.000286,-2.411
0.8,0.7,1.1,4e-05,2e-06,11500000000.0,0.000118,-2.349
0.8,0.7,1.1,4e-05,3e-06,15500000000.0,0.000175,-2.372
0.8,0.7,1.1,4e-05,4e-06,18100000000.0,0.000231,-2.392
0.8,0.7,1.1,4e-05,6e-06,22500000000.0,0.000341,-2.429
0.8,0.7,1.1,4e-05,7e-06,23900000000.0,0.000396,-2.445
0.8,0.7,1.1,4e-05,8e-06,25100000000.0,0.00045,-2.463
0.8,0.7,1.1,4.25e-05,5e-06,19300000000.0,0.000287,-2.406
0.8,0.7,1.1,4.25e-05,2e-06,11000000000.0,0.000118,-2.346
0.8,0.7,1.1,4.25e-05,3e-06,14700000000.0,0.000175,-2.368
0.8,0.7,1.1,4.25e-05,4e-06,17200000000.0,0.000231,-2.388
0.8,0.7,1.1,4.25e-05,6e-06,21100000000.0,0.000342,-2.423
0.8,0.7,1.1,4.25e-05,7e-06,22600000000.0,0.000397,-2.439
0.8,0.7,1.1,4.25e-05,8e-06,23600000000.0,0.000451,-2.455
0.8,0.7,1.1,4.5e-05,5e-06,18100000000.0,0.000287,-2.401
0.8,0.7,1.1,4.5e-05,2e-06,10500000000.0,0.000118,-2.343
0.8,0.7,1.1,4.5e-05,3e-06,13900000000.0,0.000176,-2.365
0.8,0.7,1.1,4.5e-05,4e-06,16300000000.0,0.000232,-2.384
0.8,0.7,1.1,4.5e-05,6e-06,19900000000.0,0.000343,-2.417
0.8,0.7,1.1,4.5e-05,7e-06,21200000000.0,0.000398,-2.432
0.8,0.7,1.1,4.5e-05,8e-06,22300000000.0,0.000452,-2.448
0.8,0.7,1.1,4.75e-05,5e-06,17100000000.0,0.000288,-2.397
0.8,0.7,1.1,4.75e-05,2e-06,10000000000.0,0.000119,-2.341
0.8,0.7,1.1,4.75e-05,3e-06,13100000000.0,0.000176,-2.362
0.8,0.7,1.1,4.75e-05,4e-06,15400000000.0,0.000232,-2.38
0.8,0.7,1.1,4.75e-05,6e-06,18600000000.0,0.000343,-2.412
0.8,0.7,1.1,4.75e-05,7e-06,20000000000.0,0.000399,-2.427
0.8,0.7,1.1,4.75e-05,8e-06,21000000000.0,0.000453,-2.441
0.8,0.7,1.1,5.25e-05,5e-06,15400000000.0,0.000289,-2.389
0.8,0.7,1.1,5.25e-05,2e-06,9150000000.0,0.000119,-2.336
0.8,0.7,1.1,5.25e-05,3e-06,11700000000.0,0.000176,-2.356
0.8,0.7,1.1,5.25e-05,4e-06,13900000000.0,0.000233,-2.373
0.8,0.7,1.1,5.25e-05,6e-06,16600000000.0,0.000345,-2.403
0.8,0.7,1.1,5.25e-05,7e-06,17600000000.0,0.0004,-2.417
0.8,0.7,1.1,5.25e-05,8e-06,18500000000.0,0.000455,-2.43
0.8,0.7,1.1,5.5e-05,5e-06,14600000000.0,0.00029,-2.385
0.8,0.7,1.1,5.5e-05,2e-06,8740000000.0,0.000119,-2.334
0.8,0.7,1.1,5.5e-05,3e-06,11100000000.0,0.000177,-2.354
0.8,0.7,1.1,5.5e-05,4e-06,13200000000.0,0.000233,-2.37
0.8,0.7,1.1,5.5e-05,6e-06,15800000000.0,0.000345,-2.399
0.8,0.7,1.1,5.5e-05,7e-06,16700000000.0,0.000401,-2.413
0.8,0.7,1.1,5.5e-05,8e-06,17500000000.0,0.000456,-2.426
0.8,0.7,1.1,5.75e-05,5e-06,13900000000.0,0.00029,-2.382
0.8,0.7,1.1,5.75e-05,2e-06,8340000000.0,0.000119,-2.332
0.8,0.7,1.1,5.75e-05,3e-06,10600000000.0,0.000177,-2.351
0.8,0.7,1.1,5.75e-05,4e-06,12500000000.0,0.000234,-2.368
0.8,0.7,1.1,5.75e-05,6e-06,15000000000.0,0.000346,-2.395
0.8,0.7,1.1,5.75e-05,7e-06,15800000000.0,0.000401,-2.409
0.8,0.7,1.1,5.75e-05,8e-06,16600000000.0,0.000456,-2.421
0.8,0.7,1.1,6e-05,5e-06,13200000000.0,0.000291,-2.379
0.8,0.7,1.1,6e-05,2e-06,7960000000.0,0.00012,-2.33
0.8,0.7,1.1,6e-05,3e-06,10200000000.0,0.000177,-2.349
0.8,0.7,1.1,6e-05,4e-06,11800000000.0,0.000234,-2.365
0.8,0.7,1.1,6e-05,6e-06,14300000000.0,0.000347,-2.392
0.8,0.7,1.1,6e-05,7e-06,15100000000.0,0.000402,-2.405
0.8,0.7,1.1,6e-05,8e-06,15700000000.0,0.000457,-2.417
0.8,0.7,1.3,5e-05,5e-06,16600000000.0,0.000344,-2.382
0.8,0.7,1.3,5e-05,2e-06,9740000000.0,0.000142,-2.33
0.8,0.7,1.3,5e-05,3e-06,12700000000.0,0.00021,-2.35
0.8,0.7,1.3,5e-05,4e-06,14900000000.0,0.000278,-2.367
0.8,0.7,1.3,5e-05,6e-06,18000000000.0,0.000411,-2.396
0.8,0.7,1.3,5e-05,7e-06,19300000000.0,0.000476,-2.41
0.8,0.7,1.3,5e-05,8e-06,20300000000.0,0.000543,-2.422
0.8,0.7,1.3,4e-05,5e-06,21100000000.0,0.000342,-2.4
0.8,0.7,1.3,4e-05,2e-06,11800000000.0,0.000141,-2.341
0.8,0.7,1.3,4e-05,3e-06,15800000000.0,0.000209,-2.363
0.8,0.7,1.3,4e-05,4e-06,18500000000.0,0.000276,-2.382
0.8,0.7,1.3,4e-05,6e-06,23000000000.0,0.000407,-2.416
0.8,0.7,1.3,4e-05,7e-06,24400000000.0,0.000472,-2.432
0.8,0.7,1.3,4e-05,8e-06,25600000000.0,0.000537,-2.447
0.8,0.7,1.3,4.25e-05,5e-06,19800000000.0,0.000342,-2.395
0.8,0.7,1.3,4.25e-05,2e-06,11100000000.0,0.000141,-2.338
0.8,0.7,1.3,4.25e-05,3e-06,14900000000.0,0.000209,-2.359
0.8,0.7,1.3,4.25e-05,4e-06,17500000000.0,0.000276,-2.378
0.8,0.7,1.3,4.25e-05,6e-06,21600000000.0,0.000408,-2.41
0.8,0.7,1.3,4.25e-05,7e-06,23000000000.0,0.000473,-2.426
0.8,0.7,1.3,4.25e-05,8e-06,24200000000.0,0.000538,-2.44
0.8,0.7,1.3,4.5e-05,5e-06,18500000000.0,0.000343,-2.39
0.8,0.7,1.3,4.5e-05,2e-06,10700000000.0,0.000141,-2.335
0.8,0.7,1.3,4.5e-05,3e-06,14200000000.0,0.00021,-2.356
0.8,0.7,1.3,4.5e-05,4e-06,16600000000.0,0.000277,-2.374
0.8,0.7,1.3,4.5e-05,6e-06,20400000000.0,0.000409,-2.405
0.8,0.7,1.3,4.5e-05,7e-06,21700000000.0,0.000475,-2.42
0.8,0.7,1.3,4.5e-05,8e-06,22800000000.0,0.00054,-2.434
0.8,0.7,1.3,4.75e-05,5e-06,17500000000.0,0.000344,-2.386
0.8,0.7,1.3,4.75e-05,2e-06,10200000000.0,0.000142,-2.333
0.8,0.7,1.3,4.75e-05,3e-06,13400000000.0,0.00021,-2.353
0.8,0.7,1.3,4.75e-05,4e-06,15700000000.0,0.000277,-2.37
0.8,0.7,1.3,4.75e-05,6e-06,19100000000.0,0.00041,-2.401
0.8,0.7,1.3,4.75e-05,7e-06,20500000000.0,0.000476,-2.415
0.8,0.7,1.3,4.75e-05,8e-06,21600000000.0,0.000542,-2.427
0.8,0.7,1.3,5.25e-05,5e-06,15800000000.0,0.000345,-2.379
0.8,0.7,1.3,5.25e-05,2e-06,9310000000.0,0.000142,-2.328
0.8,0.7,1.3,5.25e-05,3e-06,12000000000.0,0.000211,-2.347
0.8,0.7,1.3,5.25e-05,4e-06,14200000000.0,0.000278,-2.364
0.8,0.7,1.3,5.25e-05,6e-06,17000000000.0,0.000411,-2.392
0.8,0.7,1.3,5.25e-05,7e-06,18100000000.0,0.000477,-2.405
0.8,0.7,1.3,5.25e-05,8e-06,19100000000.0,0.000543,-2.417
0.8,0.7,1.3,5.5e-05,5e-06,15000000000.0,0.000346,-2.376
0.8,0.7,1.3,5.5e-05,2e-06,8900000000.0,0.000142,-2.326
0.8,0.7,1.3,5.5e-05,3e-06,11400000000.0,0.000211,-2.345
0.8,0.7,1.3,5.5e-05,4e-06,13500000000.0,0.000279,-2.361
0.8,0.7,1.3,5.5e-05,6e-06,16100000000.0,0.000412,-2.389
0.8,0.7,1.3,5.5e-05,7e-06,17100000000.0,0.000478,-2.401
0.8,0.7,1.3,5.5e-05,8e-06,18000000000.0,0.000544,-2.413
0.8,0.7,1.3,5.75e-05,5e-06,14200000000.0,0.000346,-2.373
0.8,0.7,1.3,5.75e-05,2e-06,8510000000.0,0.000142,-2.324
0.8,0.7,1.3,5.75e-05,3e-06,10900000000.0,0.000211,-2.343
0.8,0.7,1.3,5.75e-05,4e-06,12800000000.0,0.000279,-2.359
0.8,0.7,1.3,5.75e-05,6e-06,15300000000.0,0.000413,-2.385
0.8,0.7,1.3,5.75e-05,7e-06,16200000000.0,0.000479,-2.398
0.8,0.7,1.3,5.75e-05,8e-06,17000000000.0,0.000545,-2.409
0.8,0.7,1.3,6e-05,5e-06,13600000000.0,0.000347,-2.37
0.8,0.7,1.3,6e-05,2e-06,8130000000.0,0.000143,-2.322
0.8,0.7,1.3,6e-05,3e-06,10400000000.0,0.000212,-2.341
0.8,0.7,1.3,6e-05,4e-06,12200000000.0,0.000279,-2.356
0.8,0.7,1.3,6e-05,6e-06,14600000000.0,0.000413,-2.382
0.8,0.7,1.3,6e-05,7e-06,15400000000.0,0.00048,-2.394
0.8,0.7,1.3,6e-05,8e-06,16200000000.0,0.000546,-2.405
0.8,0.7,1.4,5e-05,5e-06,16700000000.0,0.000373,-2.379
0.8,0.7,1.4,5e-05,2e-06,9810000000.0,0.000153,-2.328
0.8,0.7,1.4,5e-05,3e-06,12800000000.0,0.000227,-2.348
0.8,0.7,1.4,5e-05,4e-06,15100000000.0,0.000301,-2.364
0.8,0.7,1.4,5e-05,6e-06,18100000000.0,0.000445,-2.393
0.8,0.7,1.4,5e-05,7e-06,19400000000.0,0.000516,-2.406
0.8,0.7,1.4,5e-05,8e-06,20500000000.0,0.000586,-2.419
0.8,0.7,1.4,4e-05,5e-06,21300000000.0,0.00037,-2.396
0.8,0.7,1.4,4e-05,2e-06,11900000000.0,0.000152,-2.338
0.8,0.7,1.4,4e-05,3e-06,15900000000.0,0.000226,-2.36
0.8,0.7,1.4,4e-05,4e-06,18600000000.0,0.000298,-2.379
0.8,0.7,1.4,4e-05,6e-06,23200000000.0,0.000441,-2.412
0.8,0.7,1.4,4e-05,7e-06,24600000000.0,0.000511,-2.428
0.8,0.7,1.4,4e-05,8e-06,25800000000.0,0.000581,-2.443
0.8,0.7,1.4,4.25e-05,5e-06,20000000000.0,0.000371,-2.391
0.8,0.7,1.4,4.25e-05,2e-06,11200000000.0,0.000153,-2.335
0.8,0.7,1.4,4.25e-05,3e-06,15000000000.0,0.000226,-2.357
0.8,0.7,1.4,4.25e-05,4e-06,17600000000.0,0.000299,-2.375
0.8,0.7,1.4,4.25e-05,6e-06,21800000000.0,0.000442,-2.407
0.8,0.7,1.4,4.25e-05,7e-06,23200000000.0,0.000513,-2.421
0.8,0.7,1.4,4.25e-05,8e-06,24400000000.0,0.000583,-2.436
0.8,0.7,1.4,4.5e-05,5e-06,18700000000.0,0.000371,-2.387
0.8,0.7,1.4,4.5e-05,2e-06,10700000000.0,0.000153,-2.333
0.8,0.7,1.4,4.5e-05,3e-06,14300000000.0,0.000227,-2.354
0.8,0.7,1.4,4.5e-05,4e-06,16700000000.0,0.0003,-2.371
0.8,0.7,1.4,4.5e-05,6e-06,20500000000.0,0.000443,-2.402
0.8,0.7,1.4,4.5e-05,7e-06,21900000000.0,0.000514,-2.416
0.8,0.7,1.4,4.5e-05,8e-06,23000000000.0,0.000584,-2.429
0.8,0.7,1.4,4.75e-05,5e-06,17700000000.0,0.000372,-2.383
0.8,0.7,1.4,4.75e-05,2e-06,10300000000.0,0.000153,-2.33
0.8,0.7,1.4,4.75e-05,3e-06,13500000000.0,0.000227,-2.351
0.8,0.7,1.4,4.75e-05,4e-06,15900000000.0,0.0003,-2.368
0.8,0.7,1.4,4.75e-05,6e-06,19300000000.0,0.000444,-2.397
0.8,0.7,1.4,4.75e-05,7e-06,20700000000.0,0.000515,-2.411
0.8,0.7,1.4,4.75e-05,8e-06,21700000000.0,0.000585,-2.424
0.8,0.7,1.4,5.25e-05,5e-06,15900000000.0,0.000373,-2.376
0.8,0.7,1.4,5.25e-05,2e-06,9380000000.0,0.000154,-2.326
0.8,0.7,1.4,5.25e-05,3e-06,12100000000.0,0.000228,-2.345
0.8,0.7,1.4,5.25e-05,4e-06,14300000000.0,0.000301,-2.361
0.8,0.7,1.4,5.25e-05,6e-06,17200000000.0,0.000445,-2.389
0.8,0.7,1.4,5.25e-05,7e-06,18300000000.0,0.000517,-2.402
0.8,0.7,1.4,5.25e-05,8e-06,19300000000.0,0.000588,-2.414
0.8,0.7,1.4,5.5e-05,5e-06,15100000000.0,0.000374,-2.373
0.8,0.7,1.4,5.5e-05,2e-06,8970000000.0,0.000154,-2.324
0.8,0.7,1.4,5.5e-05,3e-06,11400000000.0,0.000228,-2.343
0.8,0.7,1.4,5.5e-05,4e-06,13600000000.0,0.000302,-2.359
0.8,0.7,1.4,5.5e-05,6e-06,16300000000.0,0.000446,-2.386
0.8,0.7,1.4,5.5e-05,7e-06,17300000000.0,0.000518,-2.398
0.8,0.7,1.4,5.5e-05,8e-06,18100000000.0,0.000589,-2.409
0.8,0.7,1.4,5.75e-05,5e-06,14400000000.0,0.000375,-2.37
0.8,0.7,1.4,5.75e-05,2e-06,8580000000.0,0.000154,-2.322
0.8,0.7,1.4,5.75e-05,3e-06,10900000000.0,0.000228,-2.341
0.8,0.7,1.4,5.75e-05,4e-06,12900000000.0,0.000302,-2.356
0.8,0.7,1.4,5.75e-05,6e-06,15500000000.0,0.000447,-2.382
0.8,0.7,1.4,5.75e-05,7e-06,16400000000.0,0.000518,-2.394
0.8,0.7,1.4,5.75e-05,8e-06,17200000000.0,0.00059,-2.405
0.8,0.7,1.4,6e-05,5e-06,13700000000.0,0.000375,-2.367
0.8,0.7,1.4,6e-05,2e-06,8200000000.0,0.000154,-2.32
0.8,0.7,1.4,6e-05,3e-06,10500000000.0,0.000229,-2.338
0.8,0.7,1.4,6e-05,4e-06,12300000000.0,0.000302,-2.353
0.8,0.7,1.4,6e-05,6e-06,14700000000.0,0.000447,-2.379
0.8,0.7,1.4,6e-05,7e-06,15600000000.0,0.000519,-2.391
0.8,0.7,1.4,6e-05,8e-06,16300000000.0,0.000591,-2.402
0.8,0.7,1.5,5e-05,5e-06,16900000000.0,0.000401,-2.378
0.8,0.7,1.5,5e-05,2e-06,9870000000.0,0.000165,-2.327
0.8,0.7,1.5,5e-05,3e-06,12900000000.0,0.000245,-2.347
0.8,0.7,1.5,5e-05,4e-06,15200000000.0,0.000323,-2.363
0.8,0.7,1.5,5e-05,6e-06,18300000000.0,0.000479,-2.391
0.8,0.7,1.5,5e-05,7e-06,19600000000.0,0.000555,-2.404
0.8,0.7,1.5,5e-05,8e-06,20700000000.0,0.000632,-2.416
0.8,0.7,1.5,4e-05,5e-06,21400000000.0,0.000398,-2.394
0.8,0.7,1.5,4e-05,2e-06,12000000000.0,0.000164,-2.337
0.8,0.7,1.5,4e-05,3e-06,16000000000.0,0.000243,-2.359
0.8,0.7,1.5,4e-05,4e-06,18800000000.0,0.000321,-2.378
0.8,0.7,1.5,4e-05,6e-06,23300000000.0,0.000475,-2.41
0.8,0.7,1.5,4e-05,7e-06,24800000000.0,0.000551,-2.425
0.8,0.7,1.5,4e-05,8e-06,26000000000.0,0.000626,-2.439
0.8,0.7,1.5,4.25e-05,5e-06,20100000000.0,0.000399,-2.39
0.8,0.7,1.5,4.25e-05,2e-06,11300000000.0,0.000164,-2.334
0.8,0.7,1.5,4.25e-05,3e-06,15200000000.0,0.000243,-2.356
0.8,0.7,1.5,4.25e-05,4e-06,17700000000.0,0.000322,-2.373
0.8,0.7,1.5,4.25e-05,6e-06,22000000000.0,0.000476,-2.405
0.8,0.7,1.5,4.25e-05,7e-06,23400000000.0,0.000552,-2.419
0.8,0.7,1.5,4.25e-05,8e-06,24500000000.0,0.000628,-2.433
0.8,0.7,1.5,4.5e-05,5e-06,18900000000.0,0.0004,-2.385
0.8,0.7,1.5,4.5e-05,2e-06,10800000000.0,0.000165,-2.332
0.8,0.7,1.5,4.5e-05,3e-06,14400000000.0,0.000244,-2.352
0.8,0.7,1.5,4.5e-05,4e-06,16800000000.0,0.000322,-2.37
0.8,0.7,1.5,4.5e-05,6e-06,20700000000.0,0.000477,-2.4
0.8,0.7,1.5,4.5e-05,7e-06,22100000000.0,0.000553,-2.413
0.8,0.7,1.5,4.5e-05,8e-06,23200000000.0,0.000629,-2.427
0.8,0.7,1.5,4.75e-05,5e-06,17800000000.0,0.000401,-2.381
0.8,0.7,1.5,4.75e-05,2e-06,10300000000.0,0.000165,-2.329
0.8,0.7,1.5,4.75e-05,3e-06,13600000000.0,0.000244,-2.349
0.8,0.7,1.5,4.75e-05,4e-06,16000000000.0,0.000323,-2.366
0.8,0.7,1.5,4.75e-05,6e-06,19500000000.0,0.000478,-2.395
0.8,0.7,1.5,4.75e-05,7e-06,20800000000.0,0.000554,-2.408
0.8,0.7,1.5,4.75e-05,8e-06,21900000000.0,0.00063,-2.421
0.8,0.7,1.5,5.25e-05,5e-06,16000000000.0,0.000402,-2.374
0.8,0.7,1.5,5.25e-05,2e-06,9450000000.0,0.000165,-2.325
0.8,0.7,1.5,5.25e-05,3e-06,12200000000.0,0.000245,-2.344
0.8,0.7,1.5,5.25e-05,4e-06,14400000000.0,0.000324,-2.36
0.8,0.7,1.5,5.25e-05,6e-06,17300000000.0,0.00048,-2.387
0.8,0.7,1.5,5.25e-05,7e-06,18400000000.0,0.000556,-2.4
0.8,0.7,1.5,5.25e-05,8e-06,19500000000.0,0.000633,-2.411
0.8,0.7,1.5,5.5e-05,5e-06,15200000000.0,0.000403,-2.371
0.8,0.7,1.5,5.5e-05,2e-06,9040000000.0,0.000166,-2.323
0.8,0.7,1.5,5.5e-05,3e-06,11500000000.0,0.000246,-2.342
0.8,0.7,1.5,5.5e-05,4e-06,13700000000.0,0.000325,-2.357
0.8,0.7,1.5,5.5e-05,6e-06,16400000000.0,0.00048,-2.384
0.8,0.7,1.5,5.5e-05,7e-06,17400000000.0,0.000557,-2.396
0.8,0.7,1.5,5.5e-05,8e-06,18300000000.0,0.000634,-2.407
0.8,0.7,1.5,5.75e-05,5e-06,14500000000.0,0.000403,-2.368
0.8,0.7,1.5,5.75e-05,2e-06,8640000000.0,0.000166,-2.321
0.8,0.7,1.5,5.75e-05,3e-06,11000000000.0,0.000246,-2.339
0.8,0.7,1.5,5.75e-05,4e-06,13000000000.0,0.000325,-2.355
0.8,0.7,1.5,5.75e-05,6e-06,15600000000.0,0.000481,-2.381
0.8,0.7,1.5,5.75e-05,7e-06,16500000000.0,0.000558,-2.392
0.8,0.7,1.5,5.75e-05,8e-06,17300000000.0,0.000635,-2.403
0.8,0.7,1.5,6e-05,5e-06,13800000000.0,0.000404,-2.366
0.8,0.7,1.5,6e-05,2e-06,8260000000.0,0.000166,-2.319
0.8,0.7,1.5,6e-05,3e-06,10500000000.0,0.000246,-2.337
0.8,0.7,1.5,6e-05,4e-06,12400000000.0,0.000326,-2.352
0.8,0.7,1.5,6e-05,6e-06,14800000000.0,0.000482,-2.378
0.8,0.7,1.5,6e-05,7e-06,15700000000.0,0.000559,-2.389
0.8,0.7,1.5,6e-05,8e-06,16400000000.0,0.000636,-2.4
0.8,0.7,1.6,5e-05,5e-06,17000000000.0,0.00043,-2.377
0.8,0.7,1.6,5e-05,2e-06,9940000000.0,0.000177,-2.327
0.8,0.7,1.6,5e-05,3e-06,13000000000.0,0.000262,-2.347
0.8,0.7,1.6,5e-05,4e-06,15300000000.0,0.000347,-2.363
0.8,0.7,1.6,5e-05,6e-06,18400000000.0,0.000513,-2.391
0.8,0.7,1.6,5e-05,7e-06,19800000000.0,0.000596,-2.403
0.8,0.7,1.6,5e-05,8e-06,20800000000.0,0.000677,-2.415
0.8,0.7,1.6,4e-05,5e-06,21600000000.0,0.000427,-2.394
0.8,0.7,1.6,4e-05,2e-06,12100000000.0,0.000176,-2.337
0.8,0.7,1.6,4e-05,3e-06,16100000000.0,0.00026,-2.359
0.8,0.7,1.6,4e-05,4e-06,18900000000.0,0.000344,-2.377
0.8,0.7,1.6,4e-05,6e-06,23500000000.0,0.000509,-2.409
0.8,0.7,1.6,4e-05,7e-06,25000000000.0,0.000591,-2.424
0.8,0.7,1.6,4e-05,8e-06,26200000000.0,0.000671,-2.438
0.8,0.7,1.6,4.25e-05,5e-06,20300000000.0,0.000428,-2.389
0.8,0.7,1.6,4.25e-05,2e-06,11400000000.0,0.000176,-2.334
0.8,0.7,1.6,4.25e-05,3e-06,15300000000.0,0.000261,-2.356
0.8,0.7,1.6,4.25e-05,4e-06,17900000000.0,0.000345,-2.373
0.8,0.7,1.6,4.25e-05,6e-06,22100000000.0,0.00051,-2.404
0.8,0.7,1.6,4.25e-05,7e-06,23600000000.0,0.000592,-2.418
0.8,0.7,1.6,4.25e-05,8e-06,24700000000.0,0.000673,-2.431
0.8,0.7,1.6,4.5e-05,5e-06,19000000000.0,0.000429,-2.385
0.8,0.7,1.6,4.5e-05,2e-06,10900000000.0,0.000176,-2.332
0.8,0.7,1.6,4.5e-05,3e-06,14500000000.0,0.000261,-2.352
0.8,0.7,1.6,4.5e-05,4e-06,16900000000.0,0.000346,-2.37
0.8,0.7,1.6,4.5e-05,6e-06,20800000000.0,0.000511,-2.399
0.8,0.7,1.6,4.5e-05,7e-06,22200000000.0,0.000593,-2.413
0.8,0.7,1.6,4.5e-05,8e-06,23300000000.0,0.000675,-2.425
0.8,0.7,1.6,4.75e-05,5e-06,17900000000.0,0.00043,-2.381
0.8,0.7,1.6,4.75e-05,2e-06,10400000000.0,0.000177,-2.329
