Rd,VDD,Vgate,Wn,Bandwidth,DCPowerConsumption,VoltageGain
1100.0,1.2,0.6,1.05e-05,250000000.0,0.000334,10.71
1100.0,1.2,0.6,1.1e-05,251000000.0,0.000346,10.96
1100.0,1.2,0.6,1.15e-05,252000000.0,0.000358,11.2
1100.0,1.2,0.6,1.2e-05,253000000.0,0.000369,11.42
1100.0,1.2,0.6,1.25e-05,253000000.0,0.00038,11.63
1100.0,1.2,0.6,1.3e-05,254000000.0,0.000392,11.83
1100.0,1.2,0.6,1.35e-05,255000000.0,0.000402,12.02
1100.0,1.2,0.6,1.4e-05,256000000.0,0.000413,12.2
1100.0,1.2,0.6,1.45e-05,257000000.0,0.000423,12.37
1100.0,1.2,0.6,1.5e-05,257000000.0,0.000434,12.53
1100.0,1.2,0.65,7.5e-06,252000000.0,0.000429,11.0
1100.0,1.2,0.65,3e-06,239000000.0,0.000204,5.241
1100.0,1.2,0.65,3.5e-06,241000000.0,0.000233,6.302
1100.0,1.2,0.65,4e-06,242000000.0,0.00026,7.195
1100.0,1.2,0.65,4.5e-06,244000000.0,0.000287,7.958
1100.0,1.2,0.65,5e-06,245000000.0,0.000313,8.622
1100.0,1.2,0.65,5.5e-06,246000000.0,0.000338,9.207
1100.0,1.2,0.65,6e-06,248000000.0,0.000362,9.726
1100.0,1.2,0.65,6.5e-06,249000000.0,0.000385,10.19
1100.0,1.2,0.65,7e-06,251000000.0,0.000407,10.61
1100.0,1.2,0.65,8e-06,253000000.0,0.00045,11.34
1100.0,1.2,0.65,8.5e-06,255000000.0,0.000471,11.67
1100.0,1.2,0.65,9e-06,256000000.0,0.000491,11.96
1100.0,1.2,0.65,9.5e-06,257000000.0,0.00051,12.23
1100.0,1.2,0.65,1e-05,258000000.0,0.000529,12.49
1100.0,1.2,0.65,1.05e-05,260000000.0,0.000547,12.73
1100.0,1.2,0.65,1.1e-05,261000000.0,0.000565,12.95
1100.0,1.2,0.65,1.15e-05,262000000.0,0.000582,13.15
1100.0,1.2,0.65,1.2e-05,263000000.0,0.000599,13.35
1100.0,1.2,0.65,1.25e-05,264000000.0,0.000616,13.53
1100.0,1.2,0.65,1.3e-05,266000000.0,0.000632,13.7
1100.0,1.2,0.65,1.35e-05,267000000.0,0.000647,13.87
1100.0,1.2,0.65,1.4e-05,268000000.0,0.000663,14.02
1100.0,1.2,0.65,1.45e-05,269000000.0,0.000678,14.17
1100.0,1.2,0.65,1.5e-05,270000000.0,0.000692,14.31
1100.0,1.2,0.7,7.5e-06,259000000.0,0.000639,12.23
1100.0,1.2,0.7,3e-06,242000000.0,0.000314,6.78
1100.0,1.2,0.7,3.5e-06,244000000.0,0.000357,7.803
1100.0,1.2,0.7,4e-06,246000000.0,0.000398,8.658
1100.0,1.2,0.7,4.5e-06,248000000.0,0.000437,9.386
1100.0,1.2,0.7,5e-06,250000000.0,0.000474,10.02
1100.0,1.2,0.7,5.5e-06,251000000.0,0.00051,10.57
1100.0,1.2,0.7,6e-06,253000000.0,0.000544,11.06
1100.0,1.2,0.7,6.5e-06,255000000.0,0.000577,11.49
1100.0,1.2,0.7,7e-06,257000000.0,0.000608,11.88
1100.0,1.2,0.7,8e-06,261000000.0,0.000668,12.55
1100.0,1.2,0.7,8.5e-06,262000000.0,0.000696,12.85
1100.0,1.2,0.7,9e-06,264000000.0,0.000724,13.11
1100.0,1.2,0.7,9.5e-06,266000000.0,0.00075,13.36
1100.0,1.2,0.7,1e-05,268000000.0,0.000775,13.58
1100.0,1.2,0.7,1.05e-05,269000000.0,0.0008,13.79
1100.0,1.2,0.7,1.1e-05,271000000.0,0.000824,13.98
1100.0,1.2,0.7,1.15e-05,273000000.0,0.000847,14.15
1100.0,1.2,0.7,1.2e-05,275000000.0,0.00087,14.31
1100.0,1.2,0.7,1.25e-05,277000000.0,0.000891,14.45
1100.0,1.2,0.7,1.3e-05,278000000.0,0.000913,14.58
1100.0,1.2,0.7,1.35e-05,280000000.0,0.000933,14.7
1100.0,1.2,0.7,1.4e-05,283000000.0,0.000953,14.79
1100.0,1.2,0.7,1.45e-05,285000000.0,0.000972,14.88
1100.0,1.2,0.7,1.5e-05,287000000.0,0.000991,14.94
1100.0,1.2,0.75,7.5e-06,266000000.0,0.00087,12.73
1100.0,1.2,0.75,3e-06,244000000.0,0.000439,7.627
1100.0,1.2,0.75,3.5e-06,246000000.0,0.000498,8.62
1100.0,1.2,0.75,4e-06,249000000.0,0.000553,9.446
1100.0,1.2,0.75,4.5e-06,251000000.0,0.000605,10.14
1100.0,1.2,0.75,5e-06,253000000.0,0.000655,10.74
1100.0,1.2,0.75,5.5e-06,256000000.0,0.000702,11.26
1100.0,1.2,0.75,6e-06,258000000.0,0.000747,11.71
1100.0,1.2,0.75,6.5e-06,261000000.0,0.00079,12.1
1100.0,1.2,0.75,7e-06,263000000.0,0.000831,12.44
1100.0,1.2,0.75,8e-06,269000000.0,0.000907,12.96
1100.0,1.2,0.75,8.5e-06,273000000.0,0.000943,13.14
1100.0,1.2,0.75,9e-06,277000000.0,0.000977,13.25
1100.0,1.2,0.75,9.5e-06,282000000.0,0.00101,13.26
1100.0,1.2,0.75,1e-05,289000000.0,0.00104,13.13
1100.0,1.2,0.75,1.05e-05,300000000.0,0.00107,12.81
1100.0,1.2,0.75,1.1e-05,317000000.0,0.00109,12.21
1100.0,1.2,0.75,1.15e-05,343000000.0,0.00111,11.3
1100.0,1.2,0.75,1.2e-05,384000000.0,0.00113,10.08
1100.0,1.2,0.75,1.25e-05,444000000.0,0.00115,8.651
1100.0,1.2,0.75,1.3e-05,523000000.0,0.00116,7.198
1100.0,1.2,0.75,1.35e-05,624000000.0,0.00117,5.793
1100.0,1.2,0.75,1.4e-05,730000000.0,0.00118,4.496
1100.0,1.2,0.75,1.45e-05,825000000.0,0.00119,3.318
1100.0,1.2,0.75,1.5e-05,913000000.0,0.0012,2.255
1100.0,1.2,0.85,3e-06,248000000.0,0.000714,8.163
1100.0,1.2,0.85,3.5e-06,252000000.0,0.000803,9.002
1100.0,1.2,0.85,4e-06,257000000.0,0.000886,9.537
1100.0,1.2,0.85,4.5e-06,267000000.0,0.000961,9.607
1100.0,1.2,0.85,5e-06,288000000.0,0.00103,8.749
1100.0,1.2,0.85,5.5e-06,341000000.0,0.00108,6.531
1100.0,1.2,0.85,6e-06,441000000.0,0.00111,3.655
1100.0,1.2,0.85,6.5e-06,583000000.0,0.00114,1.075
1100.0,1.2,0.9,3e-06,252000000.0,0.000851,7.829
1100.0,1.2,0.9,3.5e-06,265000000.0,0.00095,7.809
1100.0,1.2,0.9,4e-06,305000000.0,0.00103,5.887
1100.0,1.2,0.9,4.5e-06,403000000.0,0.00108,2.336
1100.0,1.0,0.8,7.5e-06,563000000.0,0.000786,1.949
1100.0,1.0,0.8,3e-06,246000000.0,0.000443,7.777
1100.0,1.0,0.8,3.5e-06,249000000.0,0.0005,8.689
1100.0,1.0,0.8,4e-06,253000000.0,0.000554,9.382
1100.0,1.0,0.8,4.5e-06,257000000.0,0.000603,9.847
1100.0,1.0,0.8,5e-06,264000000.0,0.000649,9.995
1100.0,1.0,0.8,5.5e-06,278000000.0,0.00069,9.603
1100.0,1.0,0.8,6e-06,306000000.0,0.000724,8.351
1100.0,1.0,0.8,6.5e-06,361000000.0,0.000751,6.306
1100.0,1.0,0.8,7e-06,448000000.0,0.000771,4.007
1100.0,1.0,0.8,8e-06,700000000.0,0.000797,0.184
1100.0,1.0,0.6,7.5e-06,243000000.0,0.00018,7.895
1100.0,1.0,0.6,3e-06,235000000.0,8.08e-05,1.555
1100.0,1.0,0.6,3.5e-06,236000000.0,9.3e-05,2.697
1100.0,1.0,0.6,4e-06,237000000.0,0.000105,3.665
1100.0,1.0,0.6,4.5e-06,238000000.0,0.000117,4.5
1100.0,1.0,0.6,5e-06,238000000.0,0.000128,5.232
1100.0,1.0,0.6,5.5e-06,239000000.0,0.000139,5.88
1100.0,1.0,0.6,6e-06,240000000.0,0.00015,6.46
1100.0,1.0,0.6,6.5e-06,241000000.0,0.00016,6.984
1100.0,1.0,0.6,7e-06,242000000.0,0.00017,7.46
1100.0,1.0,0.6,8e-06,243000000.0,0.00019,8.295
1100.0,1.0,0.6,8.5e-06,244000000.0,0.0002,8.664
1100.0,1.0,0.6,9e-06,245000000.0,0.000209,9.006
1100.0,1.0,0.6,9.5e-06,246000000.0,0.000219,9.324
1100.0,1.0,0.6,1e-05,247000000.0,0.000228,9.622
1100.0,1.0,0.6,1.05e-05,247000000.0,0.000237,9.9
1100.0,1.0,0.6,1.1e-05,248000000.0,0.000245,10.16
1100.0,1.0,0.6,1.15e-05,249000000.0,0.000254,10.41
1100.0,1.0,0.6,1.2e-05,250000000.0,0.000262,10.64
1100.0,1.0,0.6,1.25e-05,250000000.0,0.000271,10.86
1100.0,1.0,0.6,1.3e-05,251000000.0,0.000279,11.07
1100.0,1.0,0.6,1.35e-05,252000000.0,0.000287,11.26
1100.0,1.0,0.6,1.4e-05,252000000.0,0.000294,11.45
1100.0,1.0,0.6,1.45e-05,253000000.0,0.000302,11.63
1100.0,1.0,0.6,1.5e-05,254000000.0,0.00031,11.8
1100.0,1.0,0.65,7.5e-06,250000000.0,0.000313,10.43
1100.0,1.0,0.65,3e-06,238000000.0,0.000147,4.58
1100.0,1.0,0.65,3.5e-06,239000000.0,0.000168,5.657
1100.0,1.0,0.65,4e-06,241000000.0,0.000188,6.562
1100.0,1.0,0.65,4.5e-06,242000000.0,0.000208,7.338
1100.0,1.0,0.65,5e-06,244000000.0,0.000227,8.014
1100.0,1.0,0.65,5.5e-06,245000000.0,0.000245,8.609
1100.0,1.0,0.65,6e-06,246000000.0,0.000263,9.138
1100.0,1.0,0.65,6.5e-06,247000000.0,0.00028,9.614
1100.0,1.0,0.65,7e-06,249000000.0,0.000297,10.04
1100.0,1.0,0.65,8e-06,251000000.0,0.000329,10.79
1100.0,1.0,0.65,8.5e-06,252000000.0,0.000344,11.12
1100.0,1.0,0.65,9e-06,253000000.0,0.000359,11.42
1100.0,1.0,0.65,9.5e-06,255000000.0,0.000374,11.7
1100.0,1.0,0.65,1e-05,256000000.0,0.000388,11.96
1100.0,1.0,0.65,1.05e-05,257000000.0,0.000401,12.2
1100.0,1.0,0.65,1.1e-05,258000000.0,0.000415,12.43
1100.0,1.0,0.65,1.15e-05,259000000.0,0.000428,12.64
1100.0,1.0,0.65,1.2e-05,260000000.0,0.000441,12.84
1100.0,1.0,0.65,1.25e-05,261000000.0,0.000453,13.03
1100.0,1.0,0.65,1.3e-05,262000000.0,0.000465,13.2
1100.0,1.0,0.65,1.35e-05,263000000.0,0.000477,13.37
1100.0,1.0,0.65,1.4e-05,265000000.0,0.000489,13.53
1100.0,1.0,0.65,1.45e-05,266000000.0,0.0005,13.68
1100.0,1.0,0.65,1.5e-05,267000000.0,0.000511,13.82
1100.0,1.0,0.7,7.5e-06,257000000.0,0.000479,11.84
1100.0,1.0,0.7,3e-06,241000000.0,0.000233,6.355
1100.0,1.0,0.7,3.5e-06,243000000.0,0.000265,7.385
1100.0,1.0,0.7,4e-06,245000000.0,0.000296,8.245
1100.0,1.0,0.7,4.5e-06,246000000.0,0.000326,8.979
1100.0,1.0,0.7,5e-06,248000000.0,0.000354,9.613
1100.0,1.0,0.7,5.5e-06,250000000.0,0.000381,10.17
1100.0,1.0,0.7,6e-06,252000000.0,0.000407,10.66
1100.0,1.0,0.7,6.5e-06,254000000.0,0.000432,11.09
1100.0,1.0,0.7,7e-06,255000000.0,0.000456,11.49
1100.0,1.0,0.7,8e-06,259000000.0,0.000501,12.15
1100.0,1.0,0.7,8.5e-06,261000000.0,0.000523,12.44
1100.0,1.0,0.7,9e-06,262000000.0,0.000543,12.7
1100.0,1.0,0.7,9.5e-06,264000000.0,0.000563,12.93
1100.0,1.0,0.7,1e-05,266000000.0,0.000583,13.14
1100.0,1.0,0.7,1.05e-05,268000000.0,0.000601,13.33
1100.0,1.0,0.7,1.1e-05,270000000.0,0.00062,13.49
1100.0,1.0,0.7,1.15e-05,272000000.0,0.000637,13.62
1100.0,1.0,0.7,1.2e-05,275000000.0,0.000654,13.73
1100.0,1.0,0.7,1.25e-05,277000000.0,0.00067,13.81
1100.0,1.0,0.7,1.3e-05,281000000.0,0.000686,13.84
1100.0,1.0,0.7,1.35e-05,284000000.0,0.000701,13.83
1100.0,1.0,0.7,1.4e-05,289000000.0,0.000716,13.76
1100.0,1.0,0.7,1.45e-05,295000000.0,0.000729,13.62
1100.0,1.0,0.7,1.5e-05,303000000.0,0.000742,13.37
1100.0,1.0,0.75,7.5e-06,270000000.0,0.000662,11.97
1100.0,1.0,0.75,3e-06,243000000.0,0.000334,7.327
1100.0,1.0,0.75,3.5e-06,246000000.0,0.000378,8.317
1100.0,1.0,0.75,4e-06,248000000.0,0.00042,9.137
1100.0,1.0,0.75,4.5e-06,251000000.0,0.000461,9.824
1100.0,1.0,0.75,5e-06,253000000.0,0.000499,10.4
1100.0,1.0,0.75,5.5e-06,256000000.0,0.000535,10.9
1100.0,1.0,0.75,6e-06,258000000.0,0.000569,11.3
1100.0,1.0,0.75,6.5e-06,261000000.0,0.000602,11.63
1100.0,1.0,0.75,7e-06,265000000.0,0.000632,11.86
1100.0,1.0,0.75,8e-06,277000000.0,0.000689,11.9
1100.0,1.0,0.75,8.5e-06,287000000.0,0.000714,11.6
1100.0,1.0,0.75,9e-06,305000000.0,0.000736,10.93
1100.0,1.0,0.75,9.5e-06,333000000.0,0.000755,9.853
1100.0,1.0,0.75,1e-05,378000000.0,0.000771,8.434
1100.0,1.0,0.75,1.05e-05,441000000.0,0.000784,6.853
1100.0,1.0,0.75,1.1e-05,524000000.0,0.000795,5.312
1100.0,1.0,0.75,1.15e-05,627000000.0,0.000803,3.878
1100.0,1.0,0.75,1.2e-05,732000000.0,0.000811,2.586
1100.0,1.0,0.75,1.25e-05,825000000.0,0.000817,1.431
1100.0,1.0,0.75,1.3e-05,910000000.0,0.000822,0.395
1100.0,1.0,0.85,3e-06,250000000.0,0.000554,7.696
1100.0,1.0,0.85,3.5e-06,258000000.0,0.000621,8.074
1100.0,1.0,0.85,4e-06,278000000.0,0.000679,7.343
1100.0,1.0,0.85,4.5e-06,330000000.0,0.000723,4.97
1100.0,1.0,0.85,5e-06,427000000.0,0.000753,1.952
1100.0,1.0,0.9,3e-06,272000000.0,0.000656,5.539
1100.0,1.0,0.9,3.5e-06,340000000.0,0.000712,2.331
1100.0,1.1,0.8,7.5e-06,418000000.0,0.000935,5.722
1100.0,1.1,0.8,3e-06,246000000.0,0.000507,7.925
1100.0,1.1,0.8,3.5e-06,249000000.0,0.000572,8.866
1100.0,1.1,0.8,4e-06,252000000.0,0.000634,9.617
1100.0,1.1,0.8,4.5e-06,255000000.0,0.000692,10.2
1100.0,1.1,0.8,5e-06,260000000.0,0.000746,10.61
1100.0,1.1,0.8,5.5e-06,266000000.0,0.000795,10.77
1100.0,1.1,0.8,6e-06,277000000.0,0.000841,10.54
1100.0,1.1,0.8,6.5e-06,299000000.0,0.00088,9.632
1100.0,1.1,0.8,7e-06,343000000.0,0.000911,7.919
1100.0,1.1,0.8,8e-06,525000000.0,0.000954,3.585
1100.0,1.1,0.8,8.5e-06,661000000.0,0.000968,1.705
1100.0,1.1,0.8,9e-06,787000000.0,0.000979,0.103
1100.0,1.1,0.6,7.5e-06,244000000.0,0.000216,8.351
1100.0,1.1,0.6,3e-06,235000000.0,9.75e-05,2.089
1100.0,1.1,0.6,3.5e-06,236000000.0,0.000112,3.22
1100.0,1.1,0.6,4e-06,237000000.0,0.000126,4.177
1100.0,1.1,0.6,4.5e-06,238000000.0,0.00014,5.003
1100.0,1.1,0.6,5e-06,239000000.0,0.000154,5.725
1100.0,1.1,0.6,5.5e-06,240000000.0,0.000167,6.365
1100.0,1.1,0.6,6e-06,241000000.0,0.00018,6.937
1100.0,1.1,0.6,6.5e-06,242000000.0,0.000192,7.454
1100.0,1.1,0.6,7e-06,243000000.0,0.000204,7.923
1100.0,1.1,0.6,8e-06,245000000.0,0.000228,8.744
1100.0,1.1,0.6,8.5e-06,245000000.0,0.000239,9.107
1100.0,1.1,0.6,9e-06,246000000.0,0.000251,9.443
1100.0,1.1,0.6,9.5e-06,247000000.0,0.000262,9.755
1100.0,1.1,0.6,1e-05,248000000.0,0.000272,10.05
1100.0,1.1,0.6,1.05e-05,249000000.0,0.000283,10.32
1100.0,1.1,0.6,1.1e-05,249000000.0,0.000293,10.58
1100.0,1.1,0.6,1.15e-05,250000000.0,0.000303,10.82
1100.0,1.1,0.6,1.2e-05,251000000.0,0.000313,11.04
1100.0,1.1,0.6,1.25e-05,252000000.0,0.000323,11.26
1100.0,1.1,0.6,1.3e-05,253000000.0,0.000332,11.46
1100.0,1.1,0.6,1.35e-05,253000000.0,0.000341,11.66
1100.0,1.1,0.6,1.4e-05,254000000.0,0.000351,11.84
1100.0,1.1,0.6,1.45e-05,255000000.0,0.00036,12.01
1100.0,1.1,0.6,1.5e-05,255000000.0,0.000369,12.18
1100.0,1.1,0.65,7.5e-06,251000000.0,0.000369,10.72
1100.0,1.1,0.65,3e-06,238000000.0,0.000174,4.923
1100.0,1.1,0.65,3.5e-06,240000000.0,0.000199,5.991
1100.0,1.1,0.65,4e-06,241000000.0,0.000223,6.89
1100.0,1.1,0.65,4.5e-06,243000000.0,0.000246,7.66
1100.0,1.1,0.65,5e-06,244000000.0,0.000268,8.329
1100.0,1.1,0.65,5.5e-06,246000000.0,0.000289,8.919
1100.0,1.1,0.65,6e-06,247000000.0,0.00031,9.443
1100.0,1.1,0.65,6.5e-06,248000000.0,0.00033,9.914
1100.0,1.1,0.65,7e-06,250000000.0,0.00035,10.34
1100.0,1.1,0.65,8e-06,252000000.0,0.000387,11.08
1100.0,1.1,0.65,8.5e-06,253000000.0,0.000405,11.4
1100.0,1.1,0.65,9e-06,255000000.0,0.000422,11.7
1100.0,1.1,0.65,9.5e-06,256000000.0,0.000439,11.98
1100.0,1.1,0.65,1e-05,257000000.0,0.000455,12.23
1100.0,1.1,0.65,1.05e-05,258000000.0,0.000471,12.47
1100.0,1.1,0.65,1.1e-05,259000000.0,0.000487,12.7
1100.0,1.1,0.65,1.15e-05,261000000.0,0.000502,12.91
1100.0,1.1,0.65,1.2e-05,262000000.0,0.000516,13.1
1100.0,1.1,0.65,1.25e-05,263000000.0,0.000531,13.29
1100.0,1.1,0.65,1.3e-05,264000000.0,0.000545,13.46
1100.0,1.1,0.65,1.35e-05,265000000.0,0.000559,13.63
1100.0,1.1,0.65,1.4e-05,266000000.0,0.000572,13.78
1100.0,1.1,0.65,1.45e-05,267000000.0,0.000585,13.93
1100.0,1.1,0.65,1.5e-05,268000000.0,0.000598,14.07
1100.0,1.1,0.7,7.5e-06,258000000.0,0.000556,12.05
1100.0,1.1,0.7,3e-06,241000000.0,0.000272,6.576
1100.0,1.1,0.7,3.5e-06,243000000.0,0.000309,7.602
1100.0,1.1,0.7,4e-06,245000000.0,0.000345,8.46
1100.0,1.1,0.7,4.5e-06,247000000.0,0.000379,9.19
1100.0,1.1,0.7,5e-06,249000000.0,0.000411,9.823
1100.0,1.1,0.7,5.5e-06,251000000.0,0.000443,10.38
1100.0,1.1,0.7,6e-06,253000000.0,0.000473,10.87
1100.0,1.1,0.7,6.5e-06,254000000.0,0.000501,11.3
1100.0,1.1,0.7,7e-06,256000000.0,0.000529,11.69
1100.0,1.1,0.7,8e-06,260000000.0,0.000581,12.37
1100.0,1.1,0.7,8.5e-06,261000000.0,0.000606,12.66
1100.0,1.1,0.7,9e-06,263000000.0,0.00063,12.92
1100.0,1.1,0.7,9.5e-06,265000000.0,0.000653,13.16
1100.0,1.1,0.7,1e-05,267000000.0,0.000676,13.38
1100.0,1.1,0.7,1.05e-05,269000000.0,0.000697,13.58
1100.0,1.1,0.7,1.1e-05,270000000.0,0.000718,13.76
1100.0,1.1,0.7,1.15e-05,272000000.0,0.000739,13.93
1100.0,1.1,0.7,1.2e-05,274000000.0,0.000758,14.07
1100.0,1.1,0.7,1.25e-05,276000000.0,0.000777,14.2
1100.0,1.1,0.7,1.3e-05,278000000.0,0.000796,14.3
1100.0,1.1,0.7,1.35e-05,281000000.0,0.000814,14.38
1100.0,1.1,0.7,1.4e-05,284000000.0,0.000831,14.44
1100.0,1.1,0.7,1.45e-05,287000000.0,0.000848,14.46
1100.0,1.1,0.7,1.5e-05,290000000.0,0.000864,14.44
1100.0,1.1,0.75,7.5e-06,267000000.0,0.000763,12.45
1100.0,1.1,0.75,3e-06,244000000.0,0.000385,7.484
1100.0,1.1,0.75,3.5e-06,246000000.0,0.000436,8.476
1100.0,1.1,0.75,4e-06,248000000.0,0.000485,9.3
1100.0,1.1,0.75,4.5e-06,251000000.0,0.000531,9.995
1100.0,1.1,0.75,5e-06,253000000.0,0.000574,10.59
1100.0,1.1,0.75,5.5e-06,256000000.0,0.000616,11.1
1100.0,1.1,0.75,6e-06,258000000.0,0.000655,11.53
1100.0,1.1,0.75,6.5e-06,261000000.0,0.000693,11.91
1100.0,1.1,0.75,7e-06,264000000.0,0.000729,12.21
1100.0,1.1,0.75,8e-06,271000000.0,0.000795,12.61
1100.0,1.1,0.75,8.5e-06,276000000.0,0.000826,12.66
1100.0,1.1,0.75,9e-06,283000000.0,0.000854,12.57
1100.0,1.1,0.75,9.5e-06,293000000.0,0.000881,12.25
1100.0,1.1,0.75,1e-05,311000000.0,0.000904,11.62
1100.0,1.1,0.75,1.05e-05,338000000.0,0.000925,10.62
1100.0,1.1,0.75,1.1e-05,381000000.0,0.000943,9.305
1100.0,1.1,0.75,1.15e-05,442000000.0,0.000957,7.8
1100.0,1.1,0.75,1.2e-05,523000000.0,0.000969,6.3
1100.0,1.1,0.75,1.25e-05,626000000.0,0.000979,4.876
1100.0,1.1,0.75,1.3e-05,732000000.0,0.000987,3.579
1100.0,1.1,0.75,1.35e-05,826000000.0,0.000994,2.41
1100.0,1.1,0.75,1.4e-05,912000000.0,0.001,1.357
1100.0,1.1,0.75,1.45e-05,994000000.0,0.00101,0.432
1100.0,1.1,0.85,3e-06,248000000.0,0.000632,7.987
1100.0,1.1,0.85,3.5e-06,254000000.0,0.000711,8.701
1100.0,1.1,0.85,4e-06,262000000.0,0.000782,8.901
1100.0,1.1,0.85,4.5e-06,283000000.0,0.000843,8.094
1100.0,1.1,0.85,5e-06,336000000.0,0.00089,5.796
1100.0,1.1,0.85,5.5e-06,435000000.0,0.000923,2.831
1100.0,1.1,0.85,6e-06,573000000.0,0.000946,0.264
1100.0,1.1,0.9,3e-06,257000000.0,0.000754,7.168
1100.0,1.1,0.9,3.5e-06,287000000.0,0.000833,5.812
1100.0,1.1,0.9,4e-06,370000000.0,0.000888,2.361
1100.0,1.3,0.8,7.5e-06,293000000.0,0.00124,11.51
1100.0,1.3,0.8,3e-06,246000000.0,0.000646,8.157
1100.0,1.3,0.8,3.5e-06,249000000.0,0.000729,9.12
1100.0,1.3,0.8,4e-06,252000000.0,0.000808,9.91
1100.0,1.3,0.8,4.5e-06,255000000.0,0.000882,10.56
1100.0,1.3,0.8,5e-06,258000000.0,0.000951,11.1
1100.0,1.3,0.8,5.5e-06,261000000.0,0.00102,11.54
1100.0,1.3,0.8,6e-06,265000000.0,0.00108,11.85
1100.0,1.3,0.8,6.5e-06,271000000.0,0.00114,12.02
1100.0,1.3,0.8,7e-06,279000000.0,0.00119,11.96
1100.0,1.3,0.8,8e-06,320000000.0,0.00128,10.46
1100.0,1.3,0.8,8.5e-06,371000000.0,0.00131,8.746
1100.0,1.3,0.8,9e-06,454000000.0,0.00134,6.684
1100.0,1.3,0.8,9.5e-06,570000000.0,0.00136,4.659
1100.0,1.3,0.8,1e-05,712000000.0,0.00137,2.859
1100.0,1.3,0.8,1.05e-05,834000000.0,0.00139,1.309
1100.0,1.3,0.6,7.5e-06,246000000.0,0.000301,9.172
1100.0,1.3,0.6,3e-06,236000000.0,0.000138,3.068
1100.0,1.3,0.6,3.5e-06,238000000.0,0.000158,4.176
1100.0,1.3,0.6,4e-06,239000000.0,0.000178,5.112
1100.0,1.3,0.6,4.5e-06,240000000.0,0.000197,5.918
1100.0,1.3,0.6,5e-06,241000000.0,0.000216,6.622
1100.0,1.3,0.6,5.5e-06,242000000.0,0.000234,7.245
1100.0,1.3,0.6,6e-06,243000000.0,0.000251,7.802
1100.0,1.3,0.6,6.5e-06,244000000.0,0.000268,8.303
1100.0,1.3,0.6,7e-06,245000000.0,0.000285,8.757
1100.0,1.3,0.6,8e-06,247000000.0,0.000317,9.553
1100.0,1.3,0.6,8.5e-06,248000000.0,0.000333,9.904
1100.0,1.3,0.6,9e-06,249000000.0,0.000348,10.23
1100.0,1.3,0.6,9.5e-06,250000000.0,0.000362,10.53
1100.0,1.3,0.6,1e-05,251000000.0,0.000377,10.81
1100.0,1.3,0.6,1.05e-05,252000000.0,0.000391,11.07
1100.0,1.3,0.6,1.1e-05,252000000.0,0.000405,11.32
1100.0,1.3,0.6,1.15e-05,253000000.0,0.000418,11.55
1100.0,1.3,0.6,1.2e-05,254000000.0,0.000431,11.77
1100.0,1.3,0.6,1.25e-05,255000000.0,0.000444,11.98
1100.0,1.3,0.6,1.3e-05,256000000.0,0.000457,12.17
1100.0,1.3,0.6,1.35e-05,257000000.0,0.00047,12.36
1100.0,1.3,0.6,1.4e-05,258000000.0,0.000482,12.53
1100.0,1.3,0.6,1.45e-05,258000000.0,0.000494,12.7
1100.0,1.3,0.6,1.5e-05,259000000.0,0.000506,12.86
1100.0,1.3,0.65,7.5e-06,253000000.0,0.000495,11.25
1100.0,1.3,0.65,3e-06,240000000.0,0.000236,5.537
