C,Itail,R,WLO,WRF,DCPowerConsumption,ConversionGain,NoiseFigure,VoltageSwing
3e-12,0.006,700.0,1.6e-05,1.2e-05,0.00849,-1.878,20.45,0.0103
3e-12,0.006,700.0,1.6e-05,1.4e-05,0.00849,-1.439,20.87,0.0112
3e-12,0.006,700.0,1.6e-05,1.6e-05,0.00849,-1.249,21.22,0.012
3e-12,0.006,700.0,1.6e-05,1.8e-05,0.00849,-1.248,21.52,0.0126
3e-12,0.006,700.0,1.6e-05,2.2e-05,0.00847,-1.655,21.97,0.0138
3e-12,0.006,700.0,1.6e-05,2.4e-05,0.00846,-2.002,22.13,0.0143
3e-12,0.006,700.0,1.6e-05,2.6e-05,0.00845,-2.416,22.25,0.0146
3e-12,0.006,700.0,1.6e-05,2.8e-05,0.00844,-2.879,22.34,0.0149
3e-12,0.006,700.0,1.6e-05,3e-05,0.00843,-3.378,22.41,0.0151
3e-12,0.006,700.0,1.7e-05,2e-05,0.00849,-1.496,21.8,0.0135
3e-12,0.006,700.0,1.7e-05,1e-05,0.00849,-2.74,20.03,0.0097
3e-12,0.006,700.0,1.7e-05,1.2e-05,0.0085,-1.996,20.52,0.0105
3e-12,0.006,700.0,1.7e-05,1.4e-05,0.0085,-1.565,20.93,0.0116
3e-12,0.006,700.0,1.7e-05,1.6e-05,0.0085,-1.373,21.28,0.0124
3e-12,0.006,700.0,1.7e-05,1.8e-05,0.00849,-1.363,21.57,0.0129
3e-12,0.006,700.0,1.7e-05,2.2e-05,0.00848,-1.739,21.99,0.0142
3e-12,0.006,700.0,1.7e-05,2.4e-05,0.00847,-2.069,22.14,0.0145
3e-12,0.006,700.0,1.7e-05,2.6e-05,0.00846,-2.463,22.26,0.0148
3e-12,0.006,700.0,1.7e-05,2.8e-05,0.00845,-2.908,22.34,0.0152
3e-12,0.006,700.0,1.7e-05,3e-05,0.00844,-3.391,22.39,0.0155
3e-12,0.006,700.0,1.8e-05,2e-05,0.00849,-1.554,21.83,0.0137
3e-12,0.006,700.0,1.8e-05,1e-05,0.00849,-2.88,20.1,0.00987
3e-12,0.006,700.0,1.8e-05,1.2e-05,0.0085,-2.136,20.58,0.0108
3e-12,0.006,700.0,1.8e-05,1.4e-05,0.0085,-1.694,20.99,0.0119
3e-12,0.006,700.0,1.8e-05,1.6e-05,0.0085,-1.483,21.32,0.0124
3e-12,0.006,700.0,1.8e-05,1.8e-05,0.0085,-1.449,21.6,0.0133
3e-12,0.006,700.0,1.8e-05,2.2e-05,0.00848,-1.77,22.01,0.0143
3e-12,0.006,700.0,1.8e-05,2.4e-05,0.00847,-2.074,22.15,0.0148
3e-12,0.006,700.0,1.8e-05,2.6e-05,0.00847,-2.448,22.25,0.0149
3e-12,0.006,700.0,1.8e-05,2.8e-05,0.00846,-2.876,22.32,0.0156
3e-12,0.006,700.0,1.8e-05,3e-05,0.00845,-3.346,22.37,0.0158
3e-12,0.006,700.0,1.9e-05,2e-05,0.00849,-1.55,21.84,0.0139
3e-12,0.006,700.0,1.9e-05,1e-05,0.0085,-3.017,20.14,0.00999
3e-12,0.006,700.0,1.9e-05,1.2e-05,0.0085,-2.254,20.62,0.011
3e-12,0.006,700.0,1.9e-05,1.4e-05,0.00851,-1.786,21.02,0.0118
3e-12,0.006,700.0,1.9e-05,1.6e-05,0.0085,-1.542,21.35,0.0125
3e-12,0.006,700.0,1.9e-05,1.8e-05,0.0085,-1.474,21.62,0.013
3e-12,0.006,700.0,1.9e-05,2.2e-05,0.00849,-1.744,22.01,0.0147
3e-12,0.006,700.0,1.9e-05,2.4e-05,0.00848,-2.032,22.14,0.0148
3e-12,0.006,700.0,1.9e-05,2.6e-05,0.00847,-2.396,22.24,0.0152
3e-12,0.006,700.0,1.9e-05,2.8e-05,0.00846,-2.819,22.31,0.0158
3e-12,0.006,700.0,1.9e-05,3e-05,0.00845,-3.285,22.35,0.0159
3e-12,0.006,700.0,2e-05,2e-05,0.0085,-1.516,21.83,0.0138
3e-12,0.006,700.0,2e-05,1e-05,0.0085,-3.127,20.17,0.0102
3e-12,0.006,700.0,2e-05,1.2e-05,0.00851,-2.33,20.64,0.0113
3e-12,0.006,700.0,2e-05,1.4e-05,0.00851,-1.825,21.03,0.012
3e-12,0.006,700.0,2e-05,1.6e-05,0.00851,-1.546,21.35,0.0127
3e-12,0.006,700.0,2e-05,1.8e-05,0.0085,-1.454,21.62,0.0136
3e-12,0.006,700.0,2e-05,2.2e-05,0.00849,-1.702,22.0,0.0143
3e-12,0.006,700.0,2e-05,2.4e-05,0.00848,-1.986,22.13,0.0151
3e-12,0.006,700.0,2e-05,2.6e-05,0.00847,-2.348,22.23,0.0157
3e-12,0.006,700.0,2e-05,2.8e-05,0.00847,-2.769,22.3,0.0156
3e-12,0.006,700.0,2e-05,3e-05,0.00846,-3.235,22.34,0.0159
3e-12,0.006,900.0,1.5e-05,2e-05,0.00769,-1.253,21.46,0.0128
3e-12,0.006,900.0,1.5e-05,1e-05,0.00777,-2.443,19.48,0.00941
3e-12,0.006,900.0,1.5e-05,1.2e-05,0.00776,-1.691,20.01,0.0104
3e-12,0.006,900.0,1.5e-05,1.4e-05,0.00774,-1.265,20.46,0.0112
3e-12,0.006,900.0,1.5e-05,1.6e-05,0.00772,-1.085,20.85,0.0118
3e-12,0.006,900.0,1.5e-05,1.8e-05,0.00771,-1.096,21.18,0.0122
3e-12,0.006,900.0,1.5e-05,2.2e-05,0.00767,-1.523,21.69,0.0131
3e-12,0.006,900.0,1.5e-05,2.4e-05,0.00766,-1.88,21.88,0.0139
3e-12,0.006,900.0,1.5e-05,2.6e-05,0.00764,-2.302,22.03,0.014
3e-12,0.006,900.0,1.5e-05,2.8e-05,0.00763,-2.773,22.15,0.0143
3e-12,0.006,900.0,1.5e-05,3e-05,0.00762,-3.279,22.24,0.0146
3e-12,0.006,900.0,1e-05,2e-05,0.00766,-1.55,21.85,0.0113
3e-12,0.006,900.0,1e-05,1e-05,0.00775,-2.522,19.61,0.00801
3e-12,0.006,900.0,1e-05,1.2e-05,0.00773,-1.852,20.2,0.00899
3e-12,0.006,900.0,1e-05,1.4e-05,0.00771,-1.483,20.71,0.00966
3e-12,0.006,900.0,1e-05,1.6e-05,0.0077,-1.34,21.15,0.0101
3e-12,0.006,900.0,1e-05,1.8e-05,0.00768,-1.375,21.53,0.0107
3e-12,0.006,900.0,1e-05,2.2e-05,0.00765,-1.836,22.13,0.0118
3e-12,0.006,900.0,1e-05,2.4e-05,0.00763,-2.207,22.37,0.012
3e-12,0.006,900.0,1e-05,2.6e-05,0.00762,-2.643,22.57,0.0124
3e-12,0.006,900.0,1e-05,2.8e-05,0.0076,-3.128,22.73,0.0127
3e-12,0.006,900.0,1e-05,3e-05,0.00759,-3.649,22.87,0.013
3e-12,0.006,900.0,1.1e-05,2e-05,0.00767,-1.398,21.7,0.0116
3e-12,0.006,900.0,1.1e-05,1e-05,0.00775,-2.601,19.55,0.00841
3e-12,0.006,900.0,1.1e-05,1.2e-05,0.00774,-1.869,20.12,0.00909
3e-12,0.006,900.0,1.1e-05,1.4e-05,0.00772,-1.438,20.61,0.00994
3e-12,0.006,900.0,1.1e-05,1.6e-05,0.0077,-1.247,21.03,0.0107
3e-12,0.006,900.0,1.1e-05,1.8e-05,0.00769,-1.247,21.39,0.011
3e-12,0.006,900.0,1.1e-05,2.2e-05,0.00766,-1.665,21.96,0.0119
3e-12,0.006,900.0,1.1e-05,2.4e-05,0.00764,-2.023,22.18,0.0124
3e-12,0.006,900.0,1.1e-05,2.6e-05,0.00762,-2.449,22.37,0.0128
3e-12,0.006,900.0,1.1e-05,2.8e-05,0.00761,-2.926,22.52,0.013
3e-12,0.006,900.0,1.1e-05,3e-05,0.0076,-3.441,22.65,0.0134
3e-12,0.006,900.0,1.2e-05,2e-05,0.00768,-1.261,21.59,0.012
3e-12,0.006,900.0,1.2e-05,1e-05,0.00776,-2.579,19.5,0.00874
3e-12,0.006,900.0,1.2e-05,1.2e-05,0.00774,-1.796,20.06,0.00958
3e-12,0.006,900.0,1.2e-05,1.4e-05,0.00773,-1.336,20.53,0.0103
3e-12,0.006,900.0,1.2e-05,1.6e-05,0.00771,-1.128,20.94,0.0108
3e-12,0.006,900.0,1.2e-05,1.8e-05,0.00769,-1.117,21.29,0.0113
3e-12,0.006,900.0,1.2e-05,2.2e-05,0.00766,-1.525,21.85,0.0123
3e-12,0.006,900.0,1.2e-05,2.4e-05,0.00765,-1.88,22.06,0.0127
3e-12,0.006,900.0,1.2e-05,2.6e-05,0.00763,-2.305,22.23,0.013
3e-12,0.006,900.0,1.2e-05,2.8e-05,0.00762,-2.781,22.37,0.0134
3e-12,0.006,900.0,1.2e-05,3e-05,0.0076,-3.294,22.49,0.0138
3e-12,0.006,900.0,1.3e-05,2e-05,0.00768,-1.179,21.52,0.0121
3e-12,0.006,900.0,1.3e-05,1e-05,0.00776,-2.497,19.46,0.00901
3e-12,0.006,900.0,1.3e-05,1.2e-05,0.00775,-1.707,20.01,0.00976
3e-12,0.006,900.0,1.3e-05,1.4e-05,0.00773,-1.246,20.48,0.0105
3e-12,0.006,900.0,1.3e-05,1.6e-05,0.00772,-1.039,20.88,0.0111
3e-12,0.006,900.0,1.3e-05,1.8e-05,0.0077,-1.032,21.22,0.0118
3e-12,0.006,900.0,1.3e-05,2.2e-05,0.00767,-1.445,21.76,0.0127
3e-12,0.006,900.0,1.3e-05,2.4e-05,0.00765,-1.803,21.97,0.013
3e-12,0.006,900.0,1.3e-05,2.6e-05,0.00764,-2.229,22.14,0.0133
3e-12,0.006,900.0,1.3e-05,2.8e-05,0.00762,-2.706,22.27,0.0138
3e-12,0.006,900.0,1.3e-05,3e-05,0.00761,-3.221,22.38,0.014
3e-12,0.006,900.0,1.4e-05,2e-05,0.00769,-1.174,21.46,0.0125
3e-12,0.006,900.0,1.4e-05,1e-05,0.00777,-2.436,19.45,0.00914
3e-12,0.006,900.0,1.4e-05,1.2e-05,0.00775,-1.659,19.99,0.00985
3e-12,0.006,900.0,1.4e-05,1.4e-05,0.00774,-1.212,20.45,0.0108
3e-12,0.006,900.0,1.4e-05,1.6e-05,0.00772,-1.018,20.84,0.0114
3e-12,0.006,900.0,1.4e-05,1.8e-05,0.0077,-1.02,21.18,0.012
3e-12,0.006,900.0,1.4e-05,2.2e-05,0.00767,-1.446,21.7,0.0128
3e-12,0.006,900.0,1.4e-05,2.4e-05,0.00766,-1.807,21.9,0.0133
3e-12,0.006,900.0,1.4e-05,2.6e-05,0.00764,-2.235,22.06,0.0137
3e-12,0.006,900.0,1.4e-05,2.8e-05,0.00763,-2.713,22.19,0.014
