C,R,WN,ConversionGain,NoiseFigure,VoltageSwing
1.5e-11,3000.0,6e-06,-11.03,8.846,0.00173
1.5e-11,3000.0,6.5e-06,-10.83,8.733,0.00182
1.5e-11,3000.0,7e-06,-10.68,8.667,0.00191
1.5e-11,3000.0,7.5e-06,-10.58,8.62,0.002
1.5e-11,3000.0,8e-06,-10.53,8.616,0.00208
1.5e-11,3000.0,8.5e-06,-10.5,8.628,0.00216
1.5e-11,3000.0,9e-06,-10.48,8.643,0.00224
1.5e-11,3000.0,9.5e-06,-10.45,8.648,0.00232
1.5e-11,3000.0,1.05e-05,-10.2,8.568,0.00246
1.5e-11,3000.0,1.1e-05,-9.99,8.466,0.00254
1.5e-11,3000.0,1.15e-05,-9.83,8.329,0.00261
1.5e-11,3000.0,1.2e-05,-9.68,8.179,0.00267
1.5e-11,3000.0,1.25e-05,-9.59,8.061,0.00274
1.5e-11,3000.0,1.3e-05,-9.57,8.032,0.0028
1.5e-11,3000.0,1.35e-05,-9.57,8.029,0.00287
1.5e-11,3000.0,1.4e-05,-9.56,8.015,0.00293
1.5e-11,3000.0,1.45e-05,-9.53,7.975,0.00299
1.5e-11,3000.0,1.5e-05,-9.46,7.909,0.00304
1.5e-11,3000.0,1.55e-05,-9.38,7.822,0.0031
1.5e-11,3000.0,1.6e-05,-9.26,7.725,0.00315
1.5e-11,3000.0,1.65e-05,-9.11,7.624,0.0032
1.5e-11,3000.0,1.7e-05,-8.9,7.509,0.00325
1.5e-11,3000.0,1.75e-05,-8.66,7.365,0.0033
1.5e-11,3000.0,1.8e-05,-8.49,7.243,0.00334
1.5e-11,3000.0,1.85e-05,-8.37,7.107,0.00338
1.5e-11,3000.0,1.9e-05,-8.28,6.975,0.00343
1.5e-11,3000.0,1.95e-05,-8.19,6.863,0.00347
1.5e-11,3000.0,2e-05,-8.11,6.77,0.0035
1.5e-11,3000.0,2.05e-05,-8.02,6.686,0.00354
1.5e-11,3000.0,2.1e-05,-7.94,6.607,0.00357
1.5e-11,3000.0,2.15e-05,-7.85,6.533,0.0036
1.5e-11,3000.0,2.2e-05,-7.76,6.46,0.00363
1.5e-11,3000.0,2.25e-05,-7.67,6.39,0.00366
1.5e-11,3000.0,2.3e-05,-7.59,6.325,0.00369
1.5e-11,3000.0,2.35e-05,-7.5,6.263,0.00371
1.5e-11,3000.0,2.4e-05,-7.42,6.206,0.00373
1.5e-11,3000.0,2.45e-05,-7.34,6.141,0.00375
1.5e-11,3000.0,2.5e-05,-7.26,6.095,0.00376
1.5e-11,3000.0,2.55e-05,-7.18,6.057,0.00377
1.5e-11,3000.0,2.6e-05,-7.11,6.025,0.00378
1.5e-11,3000.0,2.65e-05,-7.04,5.999,0.00379
1.5e-11,3000.0,2.7e-05,-6.97,5.982,0.0038
1.5e-11,3000.0,2.75e-05,-6.91,5.974,0.0038
1.5e-11,3000.0,2.8e-05,-6.85,5.974,0.0038
1.5e-11,3000.0,2.85e-05,-6.81,5.981,0.0038
1.5e-11,3000.0,2.9e-05,-6.77,5.992,0.0038
1.5e-11,3000.0,2.95e-05,-6.75,6.003,0.0038
1.5e-11,4000.0,1e-05,-10.34,8.571,0.00239
1.5e-11,4000.0,5e-06,-11.57,9.052,0.00154
1.5e-11,4000.0,5.5e-06,-11.26,8.9,0.00164
1.5e-11,4000.0,6e-06,-11.0,8.766,0.00174
1.5e-11,4000.0,6.5e-06,-10.79,8.657,0.00183
1.5e-11,4000.0,7e-06,-10.65,8.594,0.00191
1.5e-11,4000.0,7.5e-06,-10.54,8.55,0.002
1.5e-11,4000.0,8e-06,-10.49,8.549,0.00208
1.5e-11,4000.0,8.5e-06,-10.47,8.563,0.00216
1.5e-11,4000.0,9e-06,-10.44,8.58,0.00224
1.5e-11,4000.0,9.5e-06,-10.42,8.587,0.00232
1.5e-11,4000.0,1.05e-05,-10.17,8.511,0.00247
1.5e-11,4000.0,1.1e-05,-9.96,8.411,0.00254
1.5e-11,4000.0,1.15e-05,-9.8,8.275,0.00261
1.5e-11,4000.0,1.2e-05,-9.65,8.125,0.00268
1.5e-11,4000.0,1.25e-05,-9.55,8.008,0.00274
1.5e-11,4000.0,1.3e-05,-9.54,7.98,0.00281
1.5e-11,4000.0,1.35e-05,-9.54,7.978,0.00287
1.5e-11,4000.0,1.4e-05,-9.53,7.965,0.00293
1.5e-11,4000.0,1.45e-05,-9.49,7.926,0.00299
1.5e-11,4000.0,1.5e-05,-9.43,7.861,0.00305
1.5e-11,4000.0,1.55e-05,-9.35,7.774,0.0031
1.5e-11,4000.0,1.6e-05,-9.23,7.678,0.00315
1.5e-11,4000.0,1.65e-05,-9.08,7.577,0.0032
1.5e-11,4000.0,1.7e-05,-8.87,7.462,0.00325
1.5e-11,4000.0,1.75e-05,-8.63,7.319,0.0033
1.5e-11,4000.0,1.8e-05,-8.46,7.197,0.00335
1.5e-11,4000.0,1.85e-05,-8.34,7.062,0.00339
1.5e-11,4000.0,1.9e-05,-8.25,6.929,0.00343
1.5e-11,4000.0,1.95e-05,-8.16,6.818,0.00347
1.5e-11,4000.0,2e-05,-8.08,6.724,0.00351
1.5e-11,4000.0,2.05e-05,-7.99,6.641,0.00354
1.5e-11,4000.0,2.1e-05,-7.9,6.562,0.00358
1.5e-11,4000.0,2.15e-05,-7.82,6.488,0.00361
1.5e-11,4000.0,2.2e-05,-7.73,6.415,0.00364
1.5e-11,4000.0,2.25e-05,-7.64,6.346,0.00367
1.5e-11,4000.0,2.3e-05,-7.56,6.28,0.00369
1.5e-11,4000.0,2.35e-05,-7.47,6.219,0.00371
1.5e-11,4000.0,2.4e-05,-7.39,6.162,0.00373
1.5e-11,4000.0,2.45e-05,-7.31,6.096,0.00375
1.5e-11,4000.0,2.5e-05,-7.23,6.051,0.00377
1.5e-11,4000.0,2.55e-05,-7.15,6.013,0.00378
1.5e-11,4000.0,2.6e-05,-7.08,5.981,0.00379
1.5e-11,4000.0,2.65e-05,-7.01,5.956,0.0038
1.5e-11,4000.0,2.7e-05,-6.94,5.939,0.0038
1.5e-11,4000.0,2.75e-05,-6.88,5.931,0.00381
1.5e-11,4000.0,2.8e-05,-6.82,5.932,0.00381
1.5e-11,4000.0,2.85e-05,-6.77,5.939,0.00381
1.5e-11,4000.0,2.9e-05,-6.74,5.95,0.00381
1.5e-11,4000.0,2.95e-05,-6.72,5.962,0.00381
1.5e-11,6000.0,1e-05,-10.31,8.512,0.0024
1.5e-11,6000.0,5e-06,-11.53,8.96,0.00155
1.5e-11,6000.0,5.5e-06,-11.22,8.813,0.00164
1.5e-11,6000.0,6e-06,-10.96,8.685,0.00174
1.5e-11,6000.0,6.5e-06,-10.76,8.58,0.00183
1.5e-11,6000.0,7e-06,-10.61,8.521,0.00192
1.5e-11,6000.0,7.5e-06,-10.51,8.48,0.002
1.5e-11,6000.0,8e-06,-10.46,8.481,0.00209
1.5e-11,6000.0,8.5e-06,-10.43,8.498,0.00217
1.5e-11,6000.0,9e-06,-10.41,8.516,0.00225
1.5e-11,6000.0,9.5e-06,-10.39,8.526,0.00232
1.5e-11,6000.0,1.05e-05,-10.13,8.453,0.00247
1.5e-11,6000.0,1.1e-05,-9.93,8.355,0.00254
1.5e-11,6000.0,1.15e-05,-9.76,8.22,0.00261
1.5e-11,6000.0,1.2e-05,-9.62,8.071,0.00268
1.5e-11,6000.0,1.25e-05,-9.52,7.955,0.00275
1.5e-11,6000.0,1.3e-05,-9.51,7.928,0.00281
1.5e-11,6000.0,1.35e-05,-9.51,7.927,0.00288
1.5e-11,6000.0,1.4e-05,-9.5,7.915,0.00294
1.5e-11,6000.0,1.45e-05,-9.46,7.876,0.00299
1.5e-11,6000.0,1.5e-05,-9.4,7.812,0.00305
1.5e-11,6000.0,1.55e-05,-9.32,7.725,0.00311
1.5e-11,6000.0,1.6e-05,-9.2,7.63,0.00316
1.5e-11,6000.0,1.65e-05,-9.05,7.53,0.00321
1.5e-11,6000.0,1.7e-05,-8.84,7.415,0.00326
1.5e-11,6000.0,1.75e-05,-8.6,7.272,0.0033
1.5e-11,6000.0,1.8e-05,-8.43,7.151,0.00335
1.5e-11,6000.0,1.85e-05,-8.31,7.015,0.00339
1.5e-11,6000.0,1.9e-05,-8.22,6.883,0.00343
1.5e-11,6000.0,1.95e-05,-8.13,6.771,0.00347
1.5e-11,6000.0,2e-05,-8.05,6.678,0.00351
1.5e-11,6000.0,2.05e-05,-7.96,6.595,0.00355
1.5e-11,6000.0,2.1e-05,-7.87,6.517,0.00358
1.5e-11,6000.0,2.15e-05,-7.79,6.443,0.00361
1.5e-11,6000.0,2.2e-05,-7.7,6.37,0.00364
1.5e-11,6000.0,2.25e-05,-7.61,6.301,0.00367
1.5e-11,6000.0,2.3e-05,-7.53,6.235,0.00369
1.5e-11,6000.0,2.35e-05,-7.44,6.174,0.00372
1.5e-11,6000.0,2.4e-05,-7.36,6.117,0.00374
1.5e-11,6000.0,2.45e-05,-7.28,6.052,0.00375
1.5e-11,6000.0,2.5e-05,-7.2,6.006,0.00377
1.5e-11,6000.0,2.55e-05,-7.12,5.968,0.00378
1.5e-11,6000.0,2.6e-05,-7.05,5.936,0.00379
1.5e-11,6000.0,2.65e-05,-6.98,5.911,0.0038
1.5e-11,6000.0,2.7e-05,-6.91,5.895,0.00381
1.5e-11,6000.0,2.75e-05,-6.84,5.887,0.00381
1.5e-11,6000.0,2.8e-05,-6.79,5.888,0.00381
1.5e-11,6000.0,2.85e-05,-6.74,5.896,0.00381
1.5e-11,6000.0,2.9e-05,-6.71,5.907,0.00381
1.5e-11,6000.0,2.95e-05,-6.69,5.92,0.00381
1.5e-11,7000.0,1e-05,-10.3,8.494,0.0024
1.5e-11,7000.0,5e-06,-11.52,8.933,0.00155
1.5e-11,7000.0,5.5e-06,-11.21,8.788,0.00165
1.5e-11,7000.0,6e-06,-10.95,8.661,0.00174
1.5e-11,7000.0,6.5e-06,-10.75,8.557,0.00183
1.5e-11,7000.0,7e-06,-10.6,8.499,0.00192
1.5e-11,7000.0,7.5e-06,-10.5,8.459,0.002
1.5e-11,7000.0,8e-06,-10.45,8.461,0.00209
1.5e-11,7000.0,8.5e-06,-10.42,8.479,0.00217
1.5e-11,7000.0,9e-06,-10.4,8.498,0.00225
1.5e-11,7000.0,9.5e-06,-10.38,8.508,0.00232
1.5e-11,7000.0,1.05e-05,-10.12,8.437,0.00247
1.5e-11,7000.0,1.1e-05,-9.92,8.339,0.00254
1.5e-11,7000.0,1.15e-05,-9.75,8.204,0.00261
1.5e-11,7000.0,1.2e-05,-9.61,8.056,0.00268
1.5e-11,7000.0,1.25e-05,-9.51,7.939,0.00275
1.5e-11,7000.0,1.3e-05,-9.5,7.913,0.00281
1.5e-11,7000.0,1.35e-05,-9.5,7.912,0.00288
1.5e-11,7000.0,1.4e-05,-9.49,7.9,0.00294
1.5e-11,7000.0,1.45e-05,-9.45,7.862,0.00299
1.5e-11,7000.0,1.5e-05,-9.39,7.797,0.00305
1.5e-11,7000.0,1.55e-05,-9.31,7.711,0.00311
1.5e-11,7000.0,1.6e-05,-9.19,7.616,0.00316
1.5e-11,7000.0,1.65e-05,-9.04,7.516,0.00321
1.5e-11,7000.0,1.7e-05,-8.83,7.402,0.00326
1.5e-11,7000.0,1.75e-05,-8.59,7.259,0.00331
1.5e-11,7000.0,1.8e-05,-8.42,7.137,0.00335
1.5e-11,7000.0,1.85e-05,-8.3,7.002,0.00339
1.5e-11,7000.0,1.9e-05,-8.21,6.869,0.00344
1.5e-11,7000.0,1.95e-05,-8.12,6.758,0.00348
1.5e-11,7000.0,2e-05,-8.04,6.665,0.00351
1.5e-11,7000.0,2.05e-05,-7.95,6.582,0.00355
1.5e-11,7000.0,2.1e-05,-7.87,6.504,0.00358
1.5e-11,7000.0,2.15e-05,-7.78,6.43,0.00362
1.5e-11,7000.0,2.2e-05,-7.69,6.357,0.00364
1.5e-11,7000.0,2.25e-05,-7.6,6.288,0.00367
1.5e-11,7000.0,2.3e-05,-7.52,6.222,0.0037
1.5e-11,7000.0,2.35e-05,-7.43,6.161,0.00372
1.5e-11,7000.0,2.4e-05,-7.35,6.104,0.00374
1.5e-11,7000.0,2.45e-05,-7.27,6.039,0.00376
1.5e-11,7000.0,2.5e-05,-7.19,5.993,0.00377
1.5e-11,7000.0,2.55e-05,-7.11,5.955,0.00378
1.5e-11,7000.0,2.6e-05,-7.04,5.924,0.00379
1.5e-11,7000.0,2.65e-05,-6.97,5.899,0.0038
1.5e-11,7000.0,2.7e-05,-6.9,5.882,0.00381
1.5e-11,7000.0,2.75e-05,-6.84,5.875,0.00381
1.5e-11,7000.0,2.8e-05,-6.78,5.876,0.00382
1.5e-11,7000.0,2.85e-05,-6.73,5.884,0.00382
1.5e-11,7000.0,2.9e-05,-6.7,5.895,0.00381
1.5e-11,7000.0,2.95e-05,-6.68,5.907,0.00381
1.5e-11,8000.0,1e-05,-10.29,8.482,0.0024
1.5e-11,8000.0,5e-06,-11.52,8.912,0.00155
1.5e-11,8000.0,5.5e-06,-11.21,8.769,0.00165
1.5e-11,8000.0,6e-06,-10.95,8.643,0.00174
1.5e-11,8000.0,6.5e-06,-10.74,8.541,0.00183
1.5e-11,8000.0,7e-06,-10.6,8.483,0.00192
1.5e-11,8000.0,7.5e-06,-10.49,8.444,0.002
1.5e-11,8000.0,8e-06,-10.44,8.447,0.00209
1.5e-11,8000.0,8.5e-06,-10.42,8.465,0.00217
1.5e-11,8000.0,9e-06,-10.39,8.484,0.00225
1.5e-11,8000.0,9.5e-06,-10.37,8.495,0.00232
1.5e-11,8000.0,1.05e-05,-10.12,8.424,0.00247
1.5e-11,8000.0,1.1e-05,-9.91,8.327,0.00255
1.5e-11,8000.0,1.15e-05,-9.75,8.192,0.00262
1.5e-11,8000.0,1.2e-05,-9.6,8.044,0.00268
1.5e-11,8000.0,1.25e-05,-9.51,7.928,0.00275
1.5e-11,8000.0,1.3e-05,-9.49,7.901,0.00281
1.5e-11,8000.0,1.35e-05,-9.49,7.901,0.00288
1.5e-11,8000.0,1.4e-05,-9.48,7.889,0.00294
1.5e-11,8000.0,1.45e-05,-9.45,7.851,0.003
1.5e-11,8000.0,1.5e-05,-9.38,7.787,0.00305
1.5e-11,8000.0,1.55e-05,-9.3,7.7,0.00311
1.5e-11,8000.0,1.6e-05,-9.19,7.605,0.00316
1.5e-11,8000.0,1.65e-05,-9.03,7.506,0.00321
1.5e-11,8000.0,1.7e-05,-8.82,7.391,0.00326
1.5e-11,8000.0,1.75e-05,-8.59,7.249,0.00331
1.5e-11,8000.0,1.8e-05,-8.41,7.127,0.00335
1.5e-11,8000.0,1.85e-05,-8.29,6.992,0.0034
1.5e-11,8000.0,1.9e-05,-8.2,6.859,0.00344
1.5e-11,8000.0,1.95e-05,-8.12,6.748,0.00348
1.5e-11,8000.0,2e-05,-8.03,6.655,0.00351
1.5e-11,8000.0,2.05e-05,-7.95,6.572,0.00355
1.5e-11,8000.0,2.1e-05,-7.86,6.494,0.00358
1.5e-11,8000.0,2.15e-05,-7.77,6.42,0.00362
1.5e-11,8000.0,2.2e-05,-7.69,6.347,0.00365
1.5e-11,8000.0,2.25e-05,-7.6,6.278,0.00367
1.5e-11,8000.0,2.3e-05,-7.51,6.213,0.0037
1.5e-11,8000.0,2.35e-05,-7.43,6.151,0.00372
1.5e-11,8000.0,2.4e-05,-7.34,6.094,0.00374
1.5e-11,8000.0,2.45e-05,-7.26,6.029,0.00376
1.5e-11,8000.0,2.5e-05,-7.18,5.984,0.00377
1.5e-11,8000.0,2.55e-05,-7.11,5.946,0.00379
1.5e-11,8000.0,2.6e-05,-7.03,5.914,0.0038
1.5e-11,8000.0,2.65e-05,-6.96,5.889,0.0038
1.5e-11,8000.0,2.7e-05,-6.89,5.873,0.00381
1.5e-11,8000.0,2.75e-05,-6.83,5.865,0.00381
1.5e-11,8000.0,2.8e-05,-6.77,5.867,0.00382
1.5e-11,8000.0,2.85e-05,-6.73,5.875,0.00382
1.5e-11,8000.0,2.9e-05,-6.69,5.886,0.00382
1.5e-11,8000.0,2.95e-05,-6.67,5.898,0.00381
1.5e-11,9000.0,1e-05,-10.29,8.471,0.0024
1.5e-11,9000.0,5e-06,-11.51,8.897,0.00155
1.5e-11,9000.0,5.5e-06,-11.2,8.754,0.00165
1.5e-11,9000.0,6e-06,-10.94,8.63,0.00174
1.5e-11,9000.0,6.5e-06,-10.73,8.527,0.00183
1.5e-11,9000.0,7e-06,-10.59,8.471,0.00192
1.5e-11,9000.0,7.5e-06,-10.49,8.432,0.00201
1.5e-11,9000.0,8e-06,-10.44,8.435,0.00209
1.5e-11,9000.0,8.5e-06,-10.41,8.454,0.00217
1.5e-11,9000.0,9e-06,-10.39,8.474,0.00225
1.5e-11,9000.0,9.5e-06,-10.37,8.484,0.00233
1.5e-11,9000.0,1.05e-05,-10.11,8.414,0.00247
1.5e-11,9000.0,1.1e-05,-9.91,8.317,0.00255
1.5e-11,9000.0,1.15e-05,-9.74,8.183,0.00262
1.5e-11,9000.0,1.2e-05,-9.6,8.035,0.00269
1.5e-11,9000.0,1.25e-05,-9.5,7.919,0.00275
1.5e-11,9000.0,1.3e-05,-9.48,7.892,0.00282
1.5e-11,9000.0,1.35e-05,-9.49,7.892,0.00288
1.5e-11,9000.0,1.4e-05,-9.48,7.881,0.00294
1.5e-11,9000.0,1.45e-05,-9.44,7.843,0.003
1.5e-11,9000.0,1.5e-05,-9.38,7.778,0.00305
1.5e-11,9000.0,1.55e-05,-9.3,7.692,0.00311
1.5e-11,9000.0,1.6e-05,-9.18,7.597,0.00316
1.5e-11,9000.0,1.65e-05,-9.03,7.498,0.00321
1.5e-11,9000.0,1.7e-05,-8.82,7.383,0.00326
1.5e-11,9000.0,1.75e-05,-8.58,7.241,0.00331
