Lm,Lm2,Cm2,R1,W1,W2,DCPowerConsumption,S11,S22,PowerGain,DrainEfficiency,PAE,PSAT
1.2e-09,1e-12,5.5e-14,3000.0,1.3e-05,4e-06,0.00503,-6.311,-15.16,5.347,15.77,4.147,4.348
1.2e-09,1e-12,5.5e-14,3000.0,1.4e-05,5e-06,0.00519,-9.55,-11.6,5.467,15.86,4.402,4.421
1.2e-09,1e-12,5.5e-14,3000.0,1.4e-05,3e-06,0.00519,-6.649,-13.26,5.428,15.82,4.368,4.522
1.2e-09,1e-12,5.5e-14,3000.0,1.4e-05,4e-06,0.00519,-7.914,-12.43,5.453,15.86,4.396,4.465
1.2e-09,1e-12,5.5e-14,3000.0,1.6e-05,5e-06,0.00548,-16.56,-8.511,5.499,15.74,4.682,4.617
1.2e-09,1e-12,5.5e-14,3000.0,1.6e-05,3e-06,0.00548,-10.54,-9.729,5.45,15.91,4.663,4.723
1.2e-09,1e-12,5.5e-14,3000.0,1.6e-05,4e-06,0.00548,-13.0,-9.113,5.48,15.79,4.684,4.664
1.2e-09,1e-12,5.5e-14,3000.0,1.7e-05,5e-06,0.00561,-24.66,-7.556,5.439,15.63,4.72,4.705
1.2e-09,1e-12,5.5e-14,3000.0,1.7e-05,3e-06,0.00561,-13.51,-8.619,5.387,15.83,4.711,4.81
1.2e-09,1e-12,5.5e-14,3000.0,1.7e-05,4e-06,0.00561,-17.46,-8.077,5.417,15.73,4.725,4.75
1.2e-09,1e-12,5.5e-14,3000.0,1.8e-05,5e-06,0.00572,-30.68,-6.873,5.338,15.5,4.696,4.797
1.2e-09,1e-12,5.5e-14,3000.0,1.8e-05,3e-06,0.00572,-17.66,-7.803,5.284,15.75,4.699,4.89
1.2e-09,1e-12,5.5e-14,3000.0,1.8e-05,4e-06,0.00572,-25.66,-7.326,5.315,15.64,4.707,4.831
1.2e-09,1e-12,5.5e-14,3000.0,1.9e-05,5e-06,0.00583,-19.49,-6.411,5.202,15.48,4.627,4.892
1.2e-09,1e-12,5.5e-14,3000.0,1.9e-05,3e-06,0.00583,-22.48,-7.225,5.147,15.66,4.633,4.964
1.2e-09,1e-12,5.5e-14,3000.0,1.9e-05,4e-06,0.00583,-26.14,-6.804,5.178,15.52,4.634,4.912
1.2e-09,1e-12,5.5e-14,3000.0,2e-05,5e-06,0.00594,-15.1,-6.129,5.039,15.43,4.537,4.985
1.2e-09,1e-12,5.5e-14,3000.0,2e-05,3e-06,0.00594,-21.06,-6.842,4.984,15.62,4.52,5.035
1.2e-09,1e-12,5.5e-14,3000.0,2e-05,4e-06,0.00594,-18.56,-6.471,5.015,15.51,4.533,4.998
1.2e-09,1e-12,5.5e-14,1500.0,1.5e-05,5e-06,0.00649,-11.93,-14.13,2.857,15.43,2.608,4.515
1.2e-09,1e-12,5.5e-14,1500.0,1.5e-05,3e-06,0.00649,-9.552,-15.62,2.844,15.54,2.632,4.612
1.2e-09,1e-12,5.5e-14,1500.0,1.5e-05,4e-06,0.00649,-10.73,-14.88,2.854,15.49,2.621,4.557
1.2e-09,1e-12,5.5e-14,1500.0,1e-05,5e-06,0.00548,-6.268,-21.02,1.445,15.48,1.025,3.759
1.2e-09,1e-12,5.5e-14,1500.0,1e-05,3e-06,0.00548,-4.899,-19.71,1.457,15.42,1.014,3.69
1.2e-09,1e-12,5.5e-14,1500.0,1e-05,4e-06,0.00548,-5.526,-20.45,1.454,15.46,1.028,3.727
1.2e-09,1e-12,5.5e-14,1500.0,1.1e-05,5e-06,0.00572,-7.284,-28.08,1.868,15.52,1.465,3.997
1.2e-09,1e-12,5.5e-14,1500.0,1.1e-05,3e-06,0.00572,-5.651,-27.78,1.875,15.62,1.429,3.996
1.2e-09,1e-12,5.5e-14,1500.0,1.1e-05,4e-06,0.00572,-6.398,-29.01,1.874,15.56,1.456,4.005
1.2e-09,1e-12,5.5e-14,1500.0,1.2e-05,5e-06,0.00594,-8.445,-24.9,2.212,15.55,1.845,4.164
1.2e-09,1e-12,5.5e-14,1500.0,1.2e-05,3e-06,0.00594,-6.516,-34.06,2.213,15.59,1.795,4.226
1.2e-09,1e-12,5.5e-14,1500.0,1.2e-05,4e-06,0.00594,-7.4,-28.56,2.215,15.49,1.829,4.193
1.2e-09,1e-12,5.5e-14,1500.0,1.3e-05,5e-06,0.00614,-9.709,-19.51,2.486,15.61,2.161,4.298
1.2e-09,1e-12,5.5e-14,1500.0,1.3e-05,3e-06,0.00614,-7.487,-22.75,2.482,15.51,2.105,4.382
1.2e-09,1e-12,5.5e-14,1500.0,1.3e-05,4e-06,0.00614,-8.512,-21.09,2.487,15.57,2.142,4.335
1.2e-09,1e-12,5.5e-14,1500.0,1.4e-05,5e-06,0.00632,-10.95,-16.27,2.699,15.54,2.408,4.413
1.2e-09,1e-12,5.5e-14,1500.0,1.4e-05,3e-06,0.00632,-8.528,-18.28,2.69,15.58,2.353,4.506
1.2e-09,1e-12,5.5e-14,1500.0,1.4e-05,4e-06,0.00632,-9.671,-17.27,2.697,15.57,2.39,4.453
1.2e-09,1e-12,5.5e-14,1500.0,1.6e-05,5e-06,0.00664,-12.34,-12.63,2.967,15.32,2.85,4.608
1.2e-09,1e-12,5.5e-14,1500.0,1.6e-05,3e-06,0.00664,-10.41,-13.83,2.95,15.46,2.855,4.707
1.2e-09,1e-12,5.5e-14,1500.0,1.6e-05,4e-06,0.00664,-11.46,-13.23,2.961,15.38,2.854,4.651
1.2e-09,1e-12,5.5e-14,1500.0,1.7e-05,5e-06,0.00678,-12.05,-11.56,3.034,15.17,3.023,4.695
1.2e-09,1e-12,5.5e-14,1500.0,1.7e-05,3e-06,0.00678,-10.91,-12.56,3.013,15.37,3.017,4.794
1.2e-09,1e-12,5.5e-14,1500.0,1.7e-05,4e-06,0.00678,-11.66,-12.06,3.026,15.26,3.022,4.738
1.2e-09,1e-12,5.5e-14,1500.0,1.8e-05,5e-06,0.00691,-11.29,-10.79,3.061,15.03,3.128,4.78
1.2e-09,1e-12,5.5e-14,1500.0,1.8e-05,3e-06,0.00691,-10.95,-11.66,3.038,15.25,3.12,4.874
1.2e-09,1e-12,5.5e-14,1500.0,1.8e-05,4e-06,0.00691,-11.31,-11.22,3.052,15.12,3.127,4.818
1.2e-09,1e-12,5.5e-14,1500.0,1.9e-05,5e-06,0.00704,-10.33,-10.26,3.054,14.9,3.167,4.87
1.2e-09,1e-12,5.5e-14,1500.0,1.9e-05,3e-06,0.00704,-10.56,-11.02,3.028,15.12,3.164,4.948
1.2e-09,1e-12,5.5e-14,1500.0,1.9e-05,4e-06,0.00704,-10.6,-10.63,3.043,14.99,3.169,4.895
1.2e-09,1e-12,5.5e-14,1500.0,2e-05,5e-06,0.00715,-9.383,-9.912,3.016,14.79,3.143,4.962
1.2e-09,1e-12,5.5e-14,1500.0,2e-05,3e-06,0.00715,-9.924,-10.59,2.989,15.0,3.148,5.018
1.2e-09,1e-12,5.5e-14,1500.0,2e-05,4e-06,0.00715,-9.763,-10.24,3.005,14.87,3.15,4.975
1.2e-09,1e-12,5.5e-14,2000.0,1.5e-05,5e-06,0.00603,-14.23,-11.93,3.991,15.67,3.619,4.519
1.2e-09,1e-12,5.5e-14,2000.0,1.5e-05,3e-06,0.00603,-9.88,-13.31,3.966,15.84,3.583,4.62
1.2e-09,1e-12,5.5e-14,2000.0,1.5e-05,4e-06,0.00603,-11.75,-12.62,3.982,15.71,3.61,4.563
1.2e-09,1e-12,5.5e-14,2000.0,1e-05,5e-06,0.00507,-5.455,-24.82,2.724,15.56,1.962,3.775
1.2e-09,1e-12,5.5e-14,2000.0,1e-05,3e-06,0.00507,-4.138,-21.6,2.73,14.9,1.976,3.709
1.2e-09,1e-12,5.5e-14,2000.0,1e-05,4e-06,0.00507,-4.731,-23.18,2.731,15.26,1.983,3.748
1.2e-09,1e-12,5.5e-14,2000.0,1.1e-05,5e-06,0.0053,-6.531,-33.51,3.129,15.82,2.421,4.004
1.2e-09,1e-12,5.5e-14,2000.0,1.1e-05,3e-06,0.0053,-4.887,-34.09,3.128,15.51,2.415,4.018
1.2e-09,1e-12,5.5e-14,2000.0,1.2e-05,5e-06,0.00551,-7.879,-21.51,3.449,15.87,2.819,4.168
1.2e-09,1e-12,5.5e-14,2000.0,1.2e-05,3e-06,0.00551,-5.804,-25.65,3.441,15.85,2.798,4.24
1.2e-09,1e-12,5.5e-14,2000.0,1.2e-05,4e-06,0.00551,-6.725,-23.6,3.449,15.87,2.82,4.2
1.2e-09,1e-12,5.5e-14,2000.0,1.3e-05,5e-06,0.0057,-9.571,-16.71,3.694,15.88,3.153,4.302
1.2e-09,1e-12,5.5e-14,2000.0,1.3e-05,3e-06,0.0057,-6.924,-19.07,3.679,15.9,3.123,4.391
1.2e-09,1e-12,5.5e-14,2000.0,1.3e-05,4e-06,0.0057,-8.088,-17.9,3.69,15.85,3.148,4.341
1.2e-09,1e-12,5.5e-14,2000.0,1.4e-05,5e-06,0.00587,-11.69,-13.86,3.872,15.75,3.421,4.417
1.2e-09,1e-12,5.5e-14,2000.0,1.4e-05,3e-06,0.00587,-8.279,-15.58,3.852,15.85,3.385,4.514
1.2e-09,1e-12,5.5e-14,2000.0,1.4e-05,4e-06,0.00587,-9.757,-14.72,3.865,15.84,3.412,4.459
1.2e-09,1e-12,5.5e-14,2000.0,1.6e-05,5e-06,0.00618,-16.72,-10.55,4.059,15.59,3.745,4.613
1.2e-09,1e-12,5.5e-14,2000.0,1.6e-05,3e-06,0.00618,-11.67,-11.7,4.029,15.72,3.716,4.715
1.2e-09,1e-12,5.5e-14,2000.0,1.6e-05,4e-06,0.00618,-13.92,-11.12,4.047,15.62,3.74,4.657
1.2e-09,1e-12,5.5e-14,2000.0,1.7e-05,5e-06,0.00632,-17.49,-9.553,4.08,15.45,3.806,4.7
1.2e-09,1e-12,5.5e-14,2000.0,1.7e-05,3e-06,0.00632,-13.38,-10.54,4.047,15.62,3.797,4.802
1.2e-09,1e-12,5.5e-14,2000.0,1.7e-05,4e-06,0.00632,-15.62,-10.04,4.067,15.55,3.803,4.744
1.2e-09,1e-12,5.5e-14,2000.0,1.8e-05,5e-06,0.00644,-15.9,-8.842,4.061,15.31,3.895,4.788
1.2e-09,1e-12,5.5e-14,2000.0,1.8e-05,3e-06,0.00644,-14.42,-9.703,4.025,15.56,3.88,4.882
1.2e-09,1e-12,5.5e-14,2000.0,1.8e-05,4e-06,0.00644,-15.78,-9.264,4.046,15.43,3.89,4.824
1.2e-09,1e-12,5.5e-14,2000.0,1.9e-05,5e-06,0.00656,-13.73,-8.353,4.007,15.21,3.925,4.881
1.2e-09,1e-12,5.5e-14,2000.0,1.9e-05,3e-06,0.00656,-14.24,-9.11,3.969,15.46,3.909,4.956
1.2e-09,1e-12,5.5e-14,2000.0,1.9e-05,4e-06,0.00656,-14.47,-8.722,3.991,15.31,3.921,4.903
1.2e-09,1e-12,5.5e-14,2000.0,2e-05,5e-06,0.00667,-11.85,-8.043,3.922,15.1,3.901,4.973
1.2e-09,1e-12,5.5e-14,2000.0,2e-05,3e-06,0.00667,-13.15,-8.715,3.883,15.36,3.89,5.026
1.2e-09,1e-12,5.5e-14,2000.0,2e-05,4e-06,0.00667,-12.76,-8.37,3.905,15.2,3.9,4.986
1.2e-09,1e-12,5.5e-14,2500.0,1.5e-05,5e-06,0.00566,-13.81,-10.65,4.841,15.64,4.194,4.522
1.2e-09,1e-12,5.5e-14,2500.0,1.5e-05,3e-06,0.00566,-9.197,-12.03,4.806,15.77,4.166,4.625
1.2e-09,1e-12,5.5e-14,2500.0,1.5e-05,4e-06,0.00566,-11.12,-11.34,4.828,15.65,4.189,4.567
1.2e-09,1e-12,5.5e-14,2500.0,1e-05,5e-06,0.00474,-4.639,-27.96,3.718,15.49,2.541,3.783
1.2e-09,1e-12,5.5e-14,2500.0,1e-05,3e-06,0.00474,-3.476,-22.45,3.719,15.27,2.565,3.721
1.2e-09,1e-12,5.5e-14,2500.0,1e-05,4e-06,0.00474,-3.996,-24.76,3.724,15.47,2.569,3.76
1.2e-09,1e-12,5.5e-14,2500.0,1.1e-05,5e-06,0.00496,-5.626,-28.97,4.105,15.68,3.003,4.007
1.2e-09,1e-12,5.5e-14,2500.0,1.1e-05,3e-06,0.00496,-4.155,-30.7,4.098,15.7,3.006,4.031
1.2e-09,1e-12,5.5e-14,2500.0,1.1e-05,4e-06,0.00496,-4.809,-32.32,4.107,15.7,3.019,4.026
1.2e-09,1e-12,5.5e-14,2500.0,1.2e-05,5e-06,0.00515,-6.897,-19.37,4.401,15.66,3.403,4.171
1.2e-09,1e-12,5.5e-14,2500.0,1.2e-05,3e-06,0.00515,-5.011,-22.42,4.385,15.84,3.39,4.247
1.2e-09,1e-12,5.5e-14,2500.0,1.2e-05,4e-06,0.00515,-5.844,-20.97,4.398,15.75,3.409,4.205
1.2e-09,1e-12,5.5e-14,2500.0,1.3e-05,5e-06,0.00534,-8.554,-15.13,4.616,15.7,3.737,4.304
1.2e-09,1e-12,5.5e-14,2500.0,1.3e-05,3e-06,0.00534,-6.093,-17.24,4.592,15.83,3.713,4.397
1.2e-09,1e-12,5.5e-14,2500.0,1.3e-05,4e-06,0.00534,-7.17,-16.2,4.609,15.69,3.736,4.345
1.2e-09,1e-12,5.5e-14,2500.0,1.4e-05,5e-06,0.0055,-10.76,-12.49,4.76,15.66,4.001,4.419
1.2e-09,1e-12,5.5e-14,2500.0,1.4e-05,3e-06,0.0055,-7.463,-14.14,4.73,15.76,3.971,4.519
1.2e-09,1e-12,5.5e-14,2500.0,1.4e-05,4e-06,0.0055,-8.881,-13.32,4.749,15.7,3.997,4.463
1.2e-09,1e-12,5.5e-14,2500.0,1.6e-05,5e-06,0.0058,-18.36,-9.324,4.868,15.61,4.316,4.615
1.2e-09,1e-12,5.5e-14,2500.0,1.6e-05,3e-06,0.0058,-11.39,-10.5,4.828,15.7,4.293,4.72
1.2e-09,1e-12,5.5e-14,2500.0,1.6e-05,4e-06,0.0058,-14.1,-9.906,4.852,15.63,4.314,4.661
1.2e-09,1e-12,5.5e-14,2500.0,1.7e-05,5e-06,0.00593,-24.85,-8.357,4.847,15.53,4.37,4.703
1.2e-09,1e-12,5.5e-14,2500.0,1.7e-05,3e-06,0.00593,-14.11,-9.377,4.804,15.67,4.357,4.807
1.2e-09,1e-12,5.5e-14,2500.0,1.7e-05,4e-06,0.00593,-18.03,-8.858,4.829,15.61,4.373,4.748
1.2e-09,1e-12,5.5e-14,2500.0,1.8e-05,5e-06,0.00605,-22.29,-7.666,4.786,15.45,4.359,4.793
1.2e-09,1e-12,5.5e-14,2500.0,1.8e-05,3e-06,0.00605,-17.02,-8.557,4.74,15.67,4.359,4.887
1.2e-09,1e-12,5.5e-14,2500.0,1.8e-05,4e-06,0.00605,-21.28,-8.101,4.766,15.53,4.368,4.828
1.2e-09,1e-12,5.5e-14,2500.0,1.9e-05,5e-06,0.00617,-17.07,-7.195,4.689,15.39,4.348,4.888
1.2e-09,1e-12,5.5e-14,2500.0,1.9e-05,3e-06,0.00617,-18.31,-7.977,4.641,15.61,4.334,4.961
1.2e-09,1e-12,5.5e-14,2500.0,1.9e-05,4e-06,0.00617,-19.21,-7.574,4.668,15.45,4.344,4.908
1.2e-09,1e-12,5.5e-14,2500.0,2e-05,5e-06,0.00627,-13.85,-6.904,4.562,15.31,4.297,4.98
1.2e-09,1e-12,5.5e-14,2500.0,2e-05,3e-06,0.00627,-16.73,-7.592,4.514,15.53,4.281,5.032
1.2e-09,1e-12,5.5e-14,2500.0,2e-05,4e-06,0.00627,-15.77,-7.236,4.541,15.39,4.291,4.993
1.2e-09,1e-12,5.5e-14,3500.0,1.5e-05,5e-06,0.00508,-10.98,-9.226,6.057,15.91,4.865,4.524
1.2e-09,1e-12,5.5e-14,3500.0,1.5e-05,3e-06,0.00508,-7.551,-10.68,6.005,16.03,4.858,4.63
1.2e-09,1e-12,5.5e-14,3500.0,1.5e-05,4e-06,0.00508,-9.064,-9.948,6.037,16.0,4.865,4.571
1.2e-09,1e-12,5.5e-14,3500.0,1e-05,5e-06,0.00423,-3.475,-30.26,5.221,14.86,3.283,3.791
1.2e-09,1e-12,5.5e-14,3500.0,1e-05,3e-06,0.00423,-2.568,-22.58,5.215,15.17,3.26,3.734
1.2e-09,1e-12,5.5e-14,3500.0,1e-05,4e-06,0.00423,-2.97,-25.38,5.226,14.89,3.288,3.774
1.2e-09,1e-12,5.5e-14,3500.0,1.1e-05,5e-06,0.00443,-4.269,-24.12,5.571,15.57,3.751,4.011
1.2e-09,1e-12,5.5e-14,3500.0,1.1e-05,3e-06,0.00443,-3.116,-25.81,5.552,15.27,3.708,4.046
1.2e-09,1e-12,5.5e-14,3500.0,1.1e-05,4e-06,0.00443,-3.627,-25.75,5.569,15.18,3.748,4.034
1.2e-09,1e-12,5.5e-14,3500.0,1.2e-05,5e-06,0.00461,-5.311,-17.17,5.817,15.85,4.151,4.174
1.2e-09,1e-12,5.5e-14,3500.0,1.2e-05,3e-06,0.00461,-3.828,-19.73,5.788,15.36,4.097,4.254
1.2e-09,1e-12,5.5e-14,3500.0,1.2e-05,4e-06,0.00461,-4.485,-18.52,5.81,15.74,4.138,4.21
1.2e-09,1e-12,5.5e-14,3500.0,1.3e-05,5e-06,0.00478,-6.684,-13.45,5.972,15.95,4.47,4.307
1.2e-09,1e-12,5.5e-14,3500.0,1.3e-05,3e-06,0.00478,-4.756,-15.48,5.934,15.83,4.439,4.403
1.2e-09,1e-12,5.5e-14,3500.0,1.3e-05,4e-06,0.00478,-5.609,-14.48,5.96,15.94,4.459,4.349
1.2e-09,1e-12,5.5e-14,3500.0,1.4e-05,5e-06,0.00493,-8.508,-10.99,6.049,15.96,4.709,4.422
1.2e-09,1e-12,5.5e-14,3500.0,1.4e-05,3e-06,0.00493,-5.966,-12.68,6.003,16.01,4.685,4.525
1.2e-09,1e-12,5.5e-14,3500.0,1.4e-05,4e-06,0.00493,-7.091,-11.83,6.032,15.99,4.699,4.467
1.2e-09,1e-12,5.5e-14,3500.0,1.6e-05,5e-06,0.00521,-14.46,-7.931,6.008,15.87,4.947,4.618
1.2e-09,1e-12,5.5e-14,3500.0,1.6e-05,3e-06,0.00521,-9.653,-9.197,5.952,16.07,4.936,4.725
1.2e-09,1e-12,5.5e-14,3500.0,1.6e-05,4e-06,0.00521,-11.77,-8.556,5.985,15.93,4.95,4.665
1.2e-09,1e-12,5.5e-14,3500.0,1.7e-05,5e-06,0.00533,-19.67,-6.98,5.911,15.77,4.962,4.707
1.2e-09,1e-12,5.5e-14,3500.0,1.7e-05,3e-06,0.00533,-12.53,-8.089,5.851,15.99,4.956,4.813
1.2e-09,1e-12,5.5e-14,3500.0,1.7e-05,4e-06,0.00533,-15.74,-7.523,5.886,15.88,4.968,4.752
1.2e-09,1e-12,5.5e-14,3500.0,1.8e-05,5e-06,0.00545,-24.6,-6.3,5.773,15.65,4.916,4.8
1.2e-09,1e-12,5.5e-14,3500.0,1.8e-05,3e-06,0.00545,-16.78,-7.271,5.712,15.92,4.923,4.893
1.2e-09,1e-12,5.5e-14,3500.0,1.8e-05,4e-06,0.00545,-22.84,-6.772,5.747,15.81,4.931,4.833
1.2e-09,1e-12,5.5e-14,3500.0,1.9e-05,5e-06,0.00555,-19.72,-5.842,5.602,15.53,4.822,4.896
1.2e-09,1e-12,5.5e-14,3500.0,1.9e-05,3e-06,0.00555,-24.27,-6.69,5.541,15.86,4.841,4.966
1.2e-09,1e-12,5.5e-14,3500.0,1.9e-05,4e-06,0.00555,-33.5,-6.251,5.576,15.69,4.84,4.915
1.2e-09,1e-12,5.5e-14,3500.0,2e-05,5e-06,0.00565,-15.48,-5.567,5.406,15.49,4.692,4.989
1.2e-09,1e-12,5.5e-14,3500.0,2e-05,3e-06,0.00565,-27.23,-6.306,5.345,15.75,4.714,5.038
1.2e-09,1e-12,5.5e-14,3500.0,2e-05,4e-06,0.00565,-20.45,-5.92,5.379,15.57,4.706,5.001
1.2e-09,1e-12,5.5e-14,4000.0,1.5e-05,5e-06,0.00485,-9.883,-8.787,6.512,15.97,5.17,4.525
1.2e-09,1e-12,5.5e-14,4000.0,1.5e-05,3e-06,0.00485,-6.908,-10.29,6.453,16.12,5.154,4.632
1.2e-09,1e-12,5.5e-14,4000.0,1.5e-05,4e-06,0.00485,-8.254,-9.533,6.49,16.05,5.18,4.572
1.2e-09,1e-12,5.5e-14,4000.0,1e-05,5e-06,0.00403,-3.076,-29.94,5.819,15.07,3.547,3.793
1.2e-09,1e-12,5.5e-14,4000.0,1e-05,3e-06,0.00403,-2.26,-22.4,5.81,14.94,3.492,3.739
1.2e-09,1e-12,5.5e-14,4000.0,1e-05,4e-06,0.00403,-2.621,-25.19,5.824,14.42,3.533,3.778
1.2e-09,1e-12,5.5e-14,4000.0,1.1e-05,5e-06,0.00422,-3.798,-22.99,6.148,15.66,4.02,4.012
1.2e-09,1e-12,5.5e-14,4000.0,1.1e-05,3e-06,0.00422,-2.759,-24.69,6.126,14.84,4.004,4.05
1.2e-09,1e-12,5.5e-14,4000.0,1.1e-05,4e-06,0.00422,-3.219,-24.49,6.146,15.38,4.011,4.036
1.2e-09,1e-12,5.5e-14,4000.0,1.2e-05,5e-06,0.0044,-4.752,-16.56,6.369,15.9,4.449,4.175
1.2e-09,1e-12,5.5e-14,4000.0,1.2e-05,3e-06,0.0044,-3.415,-19.07,6.335,15.57,4.433,4.257
1.2e-09,1e-12,5.5e-14,4000.0,1.2e-05,4e-06,0.0044,-4.007,-17.88,6.36,15.84,4.461,4.211
1.2e-09,1e-12,5.5e-14,4000.0,1.3e-05,5e-06,0.00456,-6.012,-12.95,6.495,15.96,4.788,4.308
1.2e-09,1e-12,5.5e-14,4000.0,1.3e-05,3e-06,0.00456,-4.278,-15.01,6.45,15.95,4.777,4.405
1.2e-09,1e-12,5.5e-14,4000.0,1.3e-05,4e-06,0.00456,-5.049,-13.99,6.48,16.0,4.806,4.351
1.2e-09,1e-12,5.5e-14,4000.0,1.4e-05,5e-06,0.00471,-7.676,-10.53,6.538,16.0,5.04,4.422
1.2e-09,1e-12,5.5e-14,4000.0,1.4e-05,3e-06,0.00471,-5.413,-12.27,6.486,16.1,5.012,4.527
1.2e-09,1e-12,5.5e-14,4000.0,1.4e-05,4e-06,0.00471,-6.426,-11.4,6.519,16.04,5.039,4.468
1.2e-09,1e-12,5.5e-14,4000.0,1.6e-05,5e-06,0.00498,-12.83,-7.496,6.428,15.94,5.212,4.619
1.2e-09,1e-12,5.5e-14,4000.0,1.6e-05,3e-06,0.00498,-8.893,-8.811,6.365,16.14,5.205,4.727
1.2e-09,1e-12,5.5e-14,4000.0,1.6e-05,4e-06,0.00498,-10.72,-8.145,6.402,16.0,5.224,4.667
1.2e-09,1e-12,5.5e-14,4000.0,1.7e-05,5e-06,0.00509,-16.67,-6.545,6.295,15.86,5.189,4.708
1.2e-09,1e-12,5.5e-14,4000.0,1.7e-05,3e-06,0.00509,-11.6,-7.701,6.23,16.08,5.18,4.814
1.2e-09,1e-12,5.5e-14,4000.0,1.7e-05,4e-06,0.00509,-14.19,-7.11,6.268,15.98,5.191,4.753
1.2e-09,1e-12,5.5e-14,4000.0,1.8e-05,5e-06,0.00521,-19.98,-5.866,6.124,15.76,5.096,4.802
1.2e-09,1e-12,5.5e-14,4000.0,1.8e-05,3e-06,0.00521,-15.54,-6.878,6.057,16.04,5.093,4.894
1.2e-09,1e-12,5.5e-14,4000.0,1.8e-05,4e-06,0.00521,-19.48,-6.356,6.096,15.92,5.103,4.834
1.2e-09,1e-12,5.5e-14,4000.0,1.9e-05,5e-06,0.00531,-18.43,-5.41,5.921,15.67,4.965,4.898
1.2e-09,1e-12,5.5e-14,4000.0,1.9e-05,3e-06,0.00531,-22.52,-6.292,5.855,16.0,4.982,4.968
1.2e-09,1e-12,5.5e-14,4000.0,1.9e-05,4e-06,0.00531,-25.95,-5.834,5.893,15.81,4.978,4.917
1.2e-09,1e-12,5.5e-14,4000.0,2e-05,5e-06,0.00541,-15.22,-5.14,5.695,15.55,4.8,4.991
1.2e-09,1e-12,5.5e-14,4000.0,2e-05,3e-06,0.00541,-39.23,-5.905,5.63,15.9,4.838,5.04
1.2e-09,1e-12,5.5e-14,4000.0,2e-05,4e-06,0.00541,-20.75,-5.504,5.667,15.7,4.827,5.004
1.2e-09,1e-12,8.5e-14,3000.0,1.5e-05,5e-06,0.00534,-13.13,-13.21,5.696,13.55,3.351,4.103
1.2e-09,1e-12,8.5e-14,3000.0,1.5e-05,3e-06,0.00534,-9.039,-16.31,5.632,13.49,3.349,4.144
1.2e-09,1e-12,8.5e-14,3000.0,1.5e-05,4e-06,0.00534,-10.92,-14.72,5.67,13.57,3.35,4.118
1.2e-09,1e-12,8.5e-14,3000.0,1e-05,5e-06,0.00446,-3.952,-15.9,4.505,12.47,2.148,3.272
1.2e-09,1e-12,8.5e-14,3000.0,1e-05,3e-06,0.00446,-2.906,-14.08,4.486,12.66,2.081,3.122
1.2e-09,1e-12,8.5e-14,3000.0,1e-05,4e-06,0.00446,-3.369,-14.92,4.503,12.7,2.129,3.207
1.2e-09,1e-12,8.5e-14,3000.0,1.1e-05,5e-06,0.00467,-4.882,-21.72,4.947,13.01,2.498,3.534
1.2e-09,1e-12,8.5e-14,3000.0,1.1e-05,3e-06,0.00467,-3.539,-17.91,4.915,13.01,2.436,3.518
1.2e-09,1e-12,8.5e-14,3000.0,1.1e-05,4e-06,0.00467,-4.134,-19.6,4.939,12.78,2.478,3.541
1.2e-09,1e-12,8.5e-14,3000.0,1.2e-05,3e-06,0.00486,-4.378,-24.48,5.233,13.01,2.746,3.755
1.2e-09,1e-12,8.5e-14,3000.0,1.2e-05,4e-06,0.00486,-5.151,-30.08,5.262,13.16,2.778,3.727
