C,R,WN1_RF,WN2_LO,DCPowerConsumption,ConversionGain,NoiseFigure,VoltageSwing
5e-12,5000.0,1e-05,2e-05,0.013,-4.186,9.397,0.00199
5e-12,5000.0,1e-05,2.1e-05,0.013,-4.289,9.454,0.00196
5e-12,5000.0,1e-05,2.2e-05,0.013,-4.398,9.511,0.00193
5e-12,5000.0,1e-05,2.3e-05,0.013,-4.51,9.57,0.0019
5e-12,5000.0,1e-05,2.4e-05,0.0129,-4.623,9.629,0.00187
5e-12,5000.0,1e-05,2.5e-05,0.0129,-4.738,9.69,0.00185
5e-12,5000.0,1.1e-05,6e-06,0.0138,-2.467,9.203,0.0024
5e-12,5000.0,1.1e-05,5e-06,0.014,-2.709,9.497,0.00235
5e-12,5000.0,1.1e-05,7e-06,0.0136,-2.499,9.076,0.00241
5e-12,5000.0,1.1e-05,8e-06,0.0135,-2.645,8.99,0.0024
5e-12,5000.0,1.1e-05,9e-06,0.0134,-2.704,8.934,0.00239
5e-12,5000.0,1.1e-05,1e-05,0.0133,-2.669,8.905,0.00236
5e-12,5000.0,1.1e-05,1.1e-05,0.0132,-2.682,8.92,0.00234
5e-12,5000.0,1.1e-05,1.2e-05,0.0131,-2.81,8.946,0.0023
5e-12,5000.0,1.1e-05,1.3e-05,0.013,-3.006,8.971,0.00227
5e-12,5000.0,1.1e-05,1.4e-05,0.013,-3.206,9.002,0.00224
5e-12,5000.0,1.1e-05,1.5e-05,0.0129,-3.381,9.037,0.00221
5e-12,5000.0,1.1e-05,1.6e-05,0.0129,-3.521,9.075,0.00217
5e-12,5000.0,1.1e-05,1.7e-05,0.0129,-3.631,9.115,0.00214
5e-12,5000.0,1.1e-05,1.8e-05,0.0128,-3.723,9.158,0.00211
5e-12,5000.0,1.1e-05,1.9e-05,0.0128,-3.811,9.206,0.00208
5e-12,5000.0,1.1e-05,2e-05,0.0128,-3.904,9.257,0.00205
5e-12,5000.0,1.1e-05,2.1e-05,0.0127,-4.003,9.31,0.00202
5e-12,5000.0,1.1e-05,2.2e-05,0.0127,-4.109,9.364,0.00199
5e-12,5000.0,1.1e-05,2.3e-05,0.0127,-4.219,9.419,0.00196
5e-12,5000.0,1.1e-05,2.4e-05,0.0127,-4.33,9.474,0.00194
5e-12,5000.0,1.1e-05,2.5e-05,0.0126,-4.442,9.531,0.00191
5e-12,5000.0,1.3e-05,6e-06,0.0136,-2.53,9.372,0.00238
5e-12,5000.0,1.3e-05,5e-06,0.0138,-2.819,9.763,0.00232
5e-12,5000.0,1.3e-05,7e-06,0.0134,-2.533,9.171,0.00241
5e-12,5000.0,1.3e-05,8e-06,0.0132,-2.62,9.033,0.00241
5e-12,5000.0,1.3e-05,9e-06,0.0131,-2.61,8.938,0.0024
5e-12,5000.0,1.3e-05,1e-05,0.013,-2.546,8.892,0.00239
5e-12,5000.0,1.3e-05,1.1e-05,0.0128,-2.565,8.891,0.00237
5e-12,5000.0,1.3e-05,1.2e-05,0.0127,-2.702,8.897,0.00234
5e-12,5000.0,1.3e-05,1.3e-05,0.0127,-2.886,8.908,0.00231
5e-12,5000.0,1.3e-05,1.4e-05,0.0126,-3.061,8.927,0.00229
5e-12,5000.0,1.3e-05,1.5e-05,0.0125,-3.202,8.952,0.00226
5e-12,5000.0,1.3e-05,1.6e-05,0.0125,-3.307,8.98,0.00223
5e-12,5000.0,1.3e-05,1.7e-05,0.0124,-3.386,9.011,0.0022
5e-12,5000.0,1.3e-05,1.8e-05,0.0124,-3.457,9.047,0.00217
5e-12,5000.0,1.3e-05,1.9e-05,0.0123,-3.531,9.088,0.00214
5e-12,5000.0,1.3e-05,2e-05,0.0123,-3.615,9.133,0.00211
5e-12,5000.0,1.3e-05,2.1e-05,0.0123,-3.71,9.179,0.00208
5e-12,5000.0,1.3e-05,2.2e-05,0.0122,-3.813,9.227,0.00206
5e-12,5000.0,1.3e-05,2.3e-05,0.0122,-3.919,9.276,0.00203
5e-12,5000.0,1.3e-05,2.4e-05,0.0122,-4.026,9.325,0.00201
5e-12,5000.0,1.3e-05,2.5e-05,0.0122,-4.133,9.376,0.00198
5e-12,5000.0,1.4e-05,6e-06,0.0135,-2.652,9.506,0.00235
5e-12,5000.0,1.4e-05,5e-06,0.0137,-2.963,9.948,0.00228
5e-12,5000.0,1.4e-05,7e-06,0.0133,-2.638,9.268,0.00238
5e-12,5000.0,1.4e-05,8e-06,0.0131,-2.698,9.106,0.00239
5e-12,5000.0,1.4e-05,9e-06,0.0129,-2.661,8.993,0.00239
5e-12,5000.0,1.4e-05,1e-05,0.0128,-2.587,8.939,0.00237
5e-12,5000.0,1.4e-05,1.1e-05,0.0127,-2.608,8.929,0.00236
5e-12,5000.0,1.4e-05,1.2e-05,0.0126,-2.745,8.927,0.00233
5e-12,5000.0,1.4e-05,1.3e-05,0.0125,-2.92,8.931,0.00231
5e-12,5000.0,1.4e-05,1.4e-05,0.0124,-3.082,8.945,0.00228
5e-12,5000.0,1.4e-05,1.5e-05,0.0124,-3.208,8.966,0.00226
5e-12,5000.0,1.4e-05,1.6e-05,0.0123,-3.298,8.989,0.00223
5e-12,5000.0,1.4e-05,1.7e-05,0.0122,-3.366,9.017,0.0022
5e-12,5000.0,1.4e-05,1.8e-05,0.0122,-3.429,9.05,0.00217
5e-12,5000.0,1.4e-05,1.9e-05,0.0121,-3.498,9.088,0.00214
5e-12,5000.0,1.4e-05,2e-05,0.0121,-3.58,9.13,0.00212
5e-12,5000.0,1.4e-05,2.1e-05,0.0121,-3.673,9.173,0.00209
5e-12,5000.0,1.4e-05,2.2e-05,0.012,-3.774,9.218,0.00206
5e-12,5000.0,1.4e-05,2.3e-05,0.012,-3.879,9.264,0.00204
5e-12,5000.0,1.4e-05,2.4e-05,0.012,-3.983,9.312,0.00202
5e-12,5000.0,1.4e-05,2.5e-05,0.0119,-4.086,9.36,0.00199
5e-12,5000.0,1.5e-05,6e-06,0.0134,-2.818,9.665,0.0023
5e-12,5000.0,1.5e-05,5e-06,0.0137,-3.15,10.16,0.00223
5e-12,5000.0,1.5e-05,7e-06,0.0132,-2.787,9.392,0.00234
5e-12,5000.0,1.5e-05,8e-06,0.013,-2.822,9.205,0.00236
5e-12,5000.0,1.5e-05,9e-06,0.0128,-2.762,9.075,0.00236
5e-12,5000.0,1.5e-05,1e-05,0.0127,-2.679,9.013,0.00235
5e-12,5000.0,1.5e-05,1.1e-05,0.0126,-2.702,8.995,0.00233
5e-12,5000.0,1.5e-05,1.2e-05,0.0124,-2.837,8.984,0.00231
5e-12,5000.0,1.5e-05,1.3e-05,0.0124,-3.003,8.982,0.00229
5e-12,5000.0,1.5e-05,1.4e-05,0.0123,-3.151,8.992,0.00227
5e-12,5000.0,1.5e-05,1.5e-05,0.0122,-3.263,9.008,0.00224
5e-12,5000.0,1.5e-05,1.6e-05,0.0121,-3.341,9.027,0.00222
5e-12,5000.0,1.5e-05,1.7e-05,0.0121,-3.4,9.052,0.00219
5e-12,5000.0,1.5e-05,1.8e-05,0.012,-3.456,9.082,0.00216
5e-12,5000.0,1.5e-05,1.9e-05,0.012,-3.522,9.118,0.00214
5e-12,5000.0,1.5e-05,2e-05,0.0119,-3.601,9.157,0.00211
5e-12,5000.0,1.5e-05,2.1e-05,0.0119,-3.693,9.198,0.00209
5e-12,5000.0,1.5e-05,2.2e-05,0.0118,-3.792,9.241,0.00206
5e-12,5000.0,1.5e-05,2.3e-05,0.0118,-3.894,9.285,0.00204
5e-12,5000.0,1.5e-05,2.4e-05,0.0118,-3.996,9.33,0.00201
5e-12,5000.0,1.5e-05,2.5e-05,0.0117,-4.096,9.377,0.00199
5e-12,5000.0,1.6e-05,6e-06,0.0133,-3.019,9.846,0.00225
5e-12,5000.0,1.6e-05,5e-06,0.0136,-3.37,10.39,0.00217
5e-12,5000.0,1.6e-05,7e-06,0.0131,-2.972,9.538,0.00229
5e-12,5000.0,1.6e-05,8e-06,0.0129,-2.983,9.326,0.00231
5e-12,5000.0,1.6e-05,9e-06,0.0127,-2.903,9.181,0.00232
5e-12,5000.0,1.6e-05,1e-05,0.0126,-2.814,9.11,0.00231
5e-12,5000.0,1.6e-05,1.1e-05,0.0124,-2.837,9.084,0.0023
5e-12,5000.0,1.6e-05,1.2e-05,0.0123,-2.968,9.065,0.00228
5e-12,5000.0,1.6e-05,1.3e-05,0.0122,-3.125,9.057,0.00226
5e-12,5000.0,1.6e-05,1.4e-05,0.0121,-3.261,9.062,0.00224
5e-12,5000.0,1.6e-05,1.5e-05,0.012,-3.361,9.074,0.00222
5e-12,5000.0,1.6e-05,1.6e-05,0.012,-3.427,9.09,0.00219
5e-12,5000.0,1.6e-05,1.7e-05,0.0119,-3.478,9.112,0.00217
5e-12,5000.0,1.6e-05,1.8e-05,0.0118,-3.529,9.14,0.00214
5e-12,5000.0,1.6e-05,1.9e-05,0.0118,-3.592,9.173,0.00212
5e-12,5000.0,1.6e-05,2e-05,0.0117,-3.669,9.21,0.00209
5e-12,5000.0,1.6e-05,2.1e-05,0.0117,-3.759,9.249,0.00207
5e-12,5000.0,1.6e-05,2.2e-05,0.0117,-3.856,9.289,0.00205
5e-12,5000.0,1.6e-05,2.3e-05,0.0116,-3.956,9.331,0.00202
5e-12,5000.0,1.6e-05,2.4e-05,0.0116,-4.055,9.375,0.002
5e-12,5000.0,1.6e-05,2.5e-05,0.0116,-4.152,9.42,0.00198
5e-12,5000.0,1.7e-05,6e-06,0.0133,-3.247,10.04,0.00219
5e-12,5000.0,1.7e-05,5e-06,0.0135,-3.617,10.64,0.00211
5e-12,5000.0,1.7e-05,7e-06,0.013,-3.184,9.701,0.00224
5e-12,5000.0,1.7e-05,8e-06,0.0128,-3.174,9.466,0.00226
5e-12,5000.0,1.7e-05,9e-06,0.0126,-3.077,9.306,0.00227
5e-12,5000.0,1.7e-05,1e-05,0.0125,-2.983,9.227,0.00226
5e-12,5000.0,1.7e-05,1.1e-05,0.0123,-3.006,9.192,0.00225
5e-12,5000.0,1.7e-05,1.2e-05,0.0122,-3.132,9.165,0.00224
5e-12,5000.0,1.7e-05,1.3e-05,0.0121,-3.28,9.152,0.00222
5e-12,5000.0,1.7e-05,1.4e-05,0.012,-3.404,9.152,0.0022
5e-12,5000.0,1.7e-05,1.5e-05,0.0119,-3.492,9.16,0.00218
5e-12,5000.0,1.7e-05,1.6e-05,0.0118,-3.55,9.174,0.00216
5e-12,5000.0,1.7e-05,1.7e-05,0.0118,-3.594,9.193,0.00214
5e-12,5000.0,1.7e-05,1.8e-05,0.0117,-3.641,9.219,0.00211
5e-12,5000.0,1.7e-05,1.9e-05,0.0116,-3.701,9.25,0.00209
5e-12,5000.0,1.7e-05,2e-05,0.0116,-3.776,9.284,0.00207
5e-12,5000.0,1.7e-05,2.1e-05,0.0115,-3.863,9.321,0.00204
5e-12,5000.0,1.7e-05,2.2e-05,0.0115,-3.958,9.36,0.00202
5e-12,5000.0,1.7e-05,2.3e-05,0.0115,-4.056,9.4,0.002
5e-12,5000.0,1.7e-05,2.4e-05,0.0114,-4.152,9.442,0.00198
5e-12,5000.0,1.7e-05,2.5e-05,0.0114,-4.246,9.486,0.00196
5e-12,5000.0,1.8e-05,6e-06,0.0132,-3.497,10.26,0.00213
5e-12,5000.0,1.8e-05,5e-06,0.0135,-3.884,10.9,0.00205
5e-12,5000.0,1.8e-05,7e-06,0.013,-3.419,9.88,0.00218
5e-12,5000.0,1.8e-05,8e-06,0.0127,-3.39,9.623,0.0022
5e-12,5000.0,1.8e-05,9e-06,0.0125,-3.278,9.448,0.00221
5e-12,5000.0,1.8e-05,1e-05,0.0124,-3.179,9.359,0.00221
5e-12,5000.0,1.8e-05,1.1e-05,0.0122,-3.201,9.316,0.00221
5e-12,5000.0,1.8e-05,1.2e-05,0.0121,-3.322,9.283,0.00219
5e-12,5000.0,1.8e-05,1.3e-05,0.012,-3.461,9.263,0.00218
5e-12,5000.0,1.8e-05,1.4e-05,0.0119,-3.575,9.26,0.00216
5e-12,5000.0,1.8e-05,1.5e-05,0.0118,-3.653,9.264,0.00214
5e-12,5000.0,1.8e-05,1.6e-05,0.0117,-3.702,9.275,0.00212
5e-12,5000.0,1.8e-05,1.7e-05,0.0116,-3.74,9.292,0.0021
5e-12,5000.0,1.8e-05,1.8e-05,0.0116,-3.784,9.316,0.00208
5e-12,5000.0,1.8e-05,1.9e-05,0.0115,-3.841,9.344,0.00206
5e-12,5000.0,1.8e-05,2e-05,0.0114,-3.914,9.377,0.00203
5e-12,5000.0,1.8e-05,2.1e-05,0.0114,-4.0,9.411,0.00201
5e-12,5000.0,1.8e-05,2.2e-05,0.0113,-4.092,9.449,0.00199
5e-12,5000.0,1.8e-05,2.3e-05,0.0113,-4.187,9.487,0.00197
5e-12,5000.0,1.8e-05,2.4e-05,0.0113,-4.281,9.528,0.00195
5e-12,5000.0,1.8e-05,2.5e-05,0.0112,-4.371,9.571,0.00193
5e-12,5000.0,1.9e-05,6e-06,0.0132,-3.764,10.48,0.00207
5e-12,5000.0,1.9e-05,5e-06,0.0135,-4.167,11.17,0.00198
5e-12,5000.0,1.9e-05,7e-06,0.0129,-3.671,10.07,0.00212
5e-12,5000.0,1.9e-05,8e-06,0.0127,-3.625,9.792,0.00214
5e-12,5000.0,1.9e-05,9e-06,0.0125,-3.501,9.604,0.00216
5e-12,5000.0,1.9e-05,1e-05,0.0123,-3.397,9.506,0.00216
5e-12,5000.0,1.9e-05,1.1e-05,0.0121,-3.418,9.455,0.00215
5e-12,5000.0,1.9e-05,1.2e-05,0.012,-3.534,9.414,0.00214
5e-12,5000.0,1.9e-05,1.3e-05,0.0119,-3.663,9.39,0.00213
5e-12,5000.0,1.9e-05,1.4e-05,0.0118,-3.768,9.382,0.00211
5e-12,5000.0,1.9e-05,1.5e-05,0.0117,-3.837,9.383,0.00209
5e-12,5000.0,1.9e-05,1.6e-05,0.0116,-3.879,9.391,0.00208
5e-12,5000.0,1.9e-05,1.7e-05,0.0115,-3.913,9.407,0.00206
5e-12,5000.0,1.9e-05,1.8e-05,0.0114,-3.953,9.428,0.00204
5e-12,5000.0,1.9e-05,1.9e-05,0.0114,-4.008,9.454,0.00202
5e-12,5000.0,1.9e-05,2e-05,0.0113,-4.079,9.485,0.002
5e-12,5000.0,1.9e-05,2.1e-05,0.0113,-4.162,9.518,0.00198
5e-12,5000.0,1.9e-05,2.2e-05,0.0112,-4.252,9.554,0.00196
5e-12,5000.0,1.9e-05,2.3e-05,0.0112,-4.344,9.591,0.00194
5e-12,5000.0,1.9e-05,2.4e-05,0.0111,-4.435,9.631,0.00192
5e-12,5000.0,1.9e-05,2.5e-05,0.0111,-4.523,9.673,0.0019
5e-12,5000.0,2e-05,6e-06,0.0131,-4.044,10.72,0.002
5e-12,5000.0,2e-05,5e-06,0.0134,-4.462,11.45,0.00191
5e-12,5000.0,2e-05,7e-06,0.0128,-3.938,10.28,0.00205
5e-12,5000.0,2e-05,8e-06,0.0126,-3.876,9.974,0.00208
5e-12,5000.0,2e-05,9e-06,0.0124,-3.741,9.772,0.0021
5e-12,5000.0,2e-05,1e-05,0.0122,-3.633,9.665,0.0021
5e-12,5000.0,2e-05,1.1e-05,0.012,-3.652,9.606,0.0021
5e-12,5000.0,2e-05,1.2e-05,0.0119,-3.763,9.558,0.00209
5e-12,5000.0,2e-05,1.3e-05,0.0118,-3.884,9.529,0.00208
5e-12,5000.0,2e-05,1.4e-05,0.0117,-3.98,9.517,0.00206
5e-12,5000.0,2e-05,1.5e-05,0.0116,-4.041,9.515,0.00205
5e-12,5000.0,2e-05,1.6e-05,0.0115,-4.076,9.521,0.00203
5e-12,5000.0,2e-05,1.7e-05,0.0114,-4.106,9.534,0.00201
5e-12,5000.0,2e-05,1.8e-05,0.0113,-4.143,9.553,0.00199
5e-12,5000.0,2e-05,1.9e-05,0.0112,-4.195,9.578,0.00197
5e-12,5000.0,2e-05,2e-05,0.0112,-4.264,9.606,0.00195
5e-12,5000.0,2e-05,2.1e-05,0.0111,-4.346,9.638,0.00193
5e-12,5000.0,2e-05,2.2e-05,0.0111,-4.433,9.672,0.00192
5e-12,5000.0,2e-05,2.3e-05,0.011,-4.523,9.709,0.0019
5e-12,5000.0,2e-05,2.4e-05,0.011,-4.611,9.748,0.00188
5e-12,5000.0,2e-05,2.5e-05,0.011,-4.696,9.789,0.00186
5e-12,5000.0,2.1e-05,6e-06,0.0131,-4.335,10.96,0.00194
5e-12,5000.0,2.1e-05,5e-06,0.0134,-4.767,11.74,0.00185
5e-12,5000.0,2.1e-05,7e-06,0.0128,-4.215,10.49,0.00199
5e-12,5000.0,2.1e-05,8e-06,0.0125,-4.14,10.17,0.00202
5e-12,5000.0,2.1e-05,9e-06,0.0123,-3.995,9.95,0.00203
5e-12,5000.0,2.1e-05,1e-05,0.0121,-3.883,9.835,0.00204
5e-12,5000.0,2.1e-05,1.1e-05,0.012,-3.9,9.767,0.00204
5e-12,5000.0,2.1e-05,1.2e-05,0.0118,-4.005,9.713,0.00203
5e-12,5000.0,2.1e-05,1.3e-05,0.0117,-4.118,9.679,0.00202
5e-12,5000.0,2.1e-05,1.4e-05,0.0116,-4.207,9.663,0.00201
5e-12,5000.0,2.1e-05,1.5e-05,0.0115,-4.26,9.658,0.00199
5e-12,5000.0,2.1e-05,1.6e-05,0.0114,-4.291,9.661,0.00198
5e-12,5000.0,2.1e-05,1.7e-05,0.0113,-4.316,9.672,0.00196
5e-12,5000.0,2.1e-05,1.8e-05,0.0112,-4.35,9.69,0.00194
5e-12,5000.0,2.1e-05,1.9e-05,0.0111,-4.401,9.712,0.00193
5e-12,5000.0,2.1e-05,2e-05,0.0111,-4.468,9.739,0.00191
5e-12,5000.0,2.1e-05,2.1e-05,0.011,-4.547,9.77,0.00189
5e-12,5000.0,2.1e-05,2.2e-05,0.011,-4.632,9.803,0.00187
5e-12,5000.0,2.1e-05,2.3e-05,0.0109,-4.719,9.838,0.00186
5e-12,5000.0,2.1e-05,2.4e-05,0.0109,-4.805,9.876,0.00184
5e-12,5000.0,2.1e-05,2.5e-05,0.0108,-4.887,9.917,0.00182
5e-12,5000.0,2.2e-05,6e-06,0.013,-4.633,11.21,0.00187
5e-12,5000.0,2.2e-05,5e-06,0.0133,-5.078,12.04,0.00178
5e-12,5000.0,2.2e-05,7e-06,0.0127,-4.501,10.71,0.00193
5e-12,5000.0,2.2e-05,8e-06,0.0125,-4.413,10.37,0.00196
5e-12,5000.0,2.2e-05,9e-06,0.0123,-4.259,10.14,0.00197
5e-12,5000.0,2.2e-05,1e-05,0.0121,-4.144,10.01,0.00198
5e-12,5000.0,2.2e-05,1.1e-05,0.0119,-4.159,9.937,0.00198
5e-12,5000.0,2.2e-05,1.2e-05,0.0117,-4.258,9.877,0.00197
5e-12,5000.0,2.2e-05,1.3e-05,0.0116,-4.365,9.838,0.00196
5e-12,5000.0,2.2e-05,1.4e-05,0.0115,-4.446,9.819,0.00195
5e-12,5000.0,2.2e-05,1.5e-05,0.0114,-4.493,9.811,0.00194
5e-12,5000.0,2.2e-05,1.6e-05,0.0113,-4.518,9.812,0.00193
5e-12,5000.0,2.2e-05,1.7e-05,0.0112,-4.54,9.821,0.00191
5e-12,5000.0,2.2e-05,1.8e-05,0.0111,-4.572,9.836,0.00189
5e-12,5000.0,2.2e-05,1.9e-05,0.011,-4.621,9.857,0.00188
5e-12,5000.0,2.2e-05,2e-05,0.011,-4.685,9.883,0.00186
5e-12,5000.0,2.2e-05,2.1e-05,0.0109,-4.762,9.912,0.00184
5e-12,5000.0,2.2e-05,2.2e-05,0.0109,-4.845,9.944,0.00183
5e-12,5000.0,2.2e-05,2.3e-05,0.0108,-4.93,9.978,0.00181
5e-12,5000.0,2.2e-05,2.4e-05,0.0108,-5.013,10.02,0.0018
5e-12,5000.0,2.2e-05,2.5e-05,0.0107,-5.093,10.06,0.00178
5e-12,5000.0,2.3e-05,6e-06,0.013,-4.937,11.47,0.00181
5e-12,5000.0,2.3e-05,5e-06,0.0133,-5.395,12.34,0.00172
5e-12,5000.0,2.3e-05,7e-06,0.0127,-4.794,10.94,0.00186
5e-12,5000.0,2.3e-05,8e-06,0.0124,-4.694,10.57,0.00189
5e-12,5000.0,2.3e-05,9e-06,0.0122,-4.532,10.33,0.00191
5e-12,5000.0,2.3e-05,1e-05,0.012,-4.414,10.2,0.00192
5e-12,5000.0,2.3e-05,1.1e-05,0.0118,-4.427,10.12,0.00192
5e-12,5000.0,2.3e-05,1.2e-05,0.0117,-4.521,10.05,0.00192
5e-12,5000.0,2.3e-05,1.3e-05,0.0115,-4.62,10.01,0.00191
5e-12,5000.0,2.3e-05,1.4e-05,0.0114,-4.695,9.983,0.0019
5e-12,5000.0,2.3e-05,1.5e-05,0.0113,-4.736,9.972,0.00189
5e-12,5000.0,2.3e-05,1.6e-05,0.0112,-4.757,9.97,0.00187
5e-12,5000.0,2.3e-05,1.7e-05,0.0111,-4.776,9.978,0.00186
5e-12,5000.0,2.3e-05,1.8e-05,0.011,-4.805,9.991,0.00184
5e-12,5000.0,2.3e-05,1.9e-05,0.0109,-4.852,10.01,0.00183
5e-12,5000.0,2.3e-05,2e-05,0.0109,-4.914,10.03,0.00181
5e-12,5000.0,2.3e-05,2.1e-05,0.0108,-4.989,10.06,0.0018
5e-12,5000.0,2.3e-05,2.2e-05,0.0108,-5.07,10.09,0.00178
5e-12,5000.0,2.3e-05,2.3e-05,0.0107,-5.153,10.13,0.00177
5e-12,5000.0,2.3e-05,2.4e-05,0.0107,-5.233,10.16,0.00175
5e-12,5000.0,2.3e-05,2.5e-05,0.0106,-5.311,10.2,0.00174
5e-12,5000.0,2.4e-05,6e-06,0.0129,-5.245,11.73,0.00175
5e-12,5000.0,2.4e-05,5e-06,0.0133,-5.715,12.64,0.00165
5e-12,5000.0,2.4e-05,7e-06,0.0127,-5.092,11.17,0.0018
5e-12,5000.0,2.4e-05,8e-06,0.0124,-4.981,10.79,0.00183
5e-12,5000.0,2.4e-05,9e-06,0.0122,-4.812,10.53,0.00185
5e-12,5000.0,2.4e-05,1e-05,0.0119,-4.691,10.39,0.00186
5e-12,5000.0,2.4e-05,1.1e-05,0.0118,-4.701,10.3,0.00186
5e-12,5000.0,2.4e-05,1.2e-05,0.0116,-4.79,10.23,0.00186
5e-12,5000.0,2.4e-05,1.3e-05,0.0115,-4.883,10.18,0.00185
5e-12,5000.0,2.4e-05,1.4e-05,0.0113,-4.951,10.15,0.00184
5e-12,5000.0,2.4e-05,1.5e-05,0.0112,-4.988,10.14,0.00183
5e-12,5000.0,2.4e-05,1.6e-05,0.0111,-5.004,10.14,0.00182
5e-12,5000.0,2.4e-05,1.7e-05,0.011,-5.02,10.14,0.00181
5e-12,5000.0,2.4e-05,1.8e-05,0.0109,-5.048,10.15,0.00179
5e-12,5000.0,2.4e-05,1.9e-05,0.0109,-5.092,10.17,0.00178
5e-12,5000.0,2.4e-05,2e-05,0.0108,-5.153,10.19,0.00176
5e-12,5000.0,2.4e-05,2.1e-05,0.0107,-5.226,10.22,0.00175
5e-12,5000.0,2.4e-05,2.2e-05,0.0107,-5.305,10.25,0.00174
5e-12,5000.0,2.4e-05,2.3e-05,0.0106,-5.385,10.28,0.00172
5e-12,5000.0,2.4e-05,2.4e-05,0.0106,-5.463,10.32,0.00171
5e-12,5000.0,2.4e-05,2.5e-05,0.0105,-5.538,10.36,0.00169
5e-12,5000.0,2.5e-05,6e-06,0.0129,-5.556,11.99,0.00168
5e-12,5000.0,2.5e-05,5e-06,0.0132,-6.037,12.94,0.00159
5e-12,5000.0,2.5e-05,7e-06,0.0126,-5.393,11.41,0.00174
5e-12,5000.0,2.5e-05,8e-06,0.0123,-5.272,11.01,0.00177
5e-12,5000.0,2.5e-05,9e-06,0.0121,-5.097,10.74,0.00179
5e-12,5000.0,2.5e-05,1e-05,0.0119,-4.973,10.59,0.0018
5e-12,5000.0,2.5e-05,1.1e-05,0.0117,-4.98,10.49,0.0018
5e-12,5000.0,2.5e-05,1.2e-05,0.0115,-5.064,10.41,0.0018
5e-12,5000.0,2.5e-05,1.3e-05,0.0114,-5.152,10.36,0.00179
5e-12,5000.0,2.5e-05,1.4e-05,0.0113,-5.214,10.33,0.00179
5e-12,5000.0,2.5e-05,1.5e-05,0.0111,-5.246,10.31,0.00178
5e-12,5000.0,2.5e-05,1.6e-05,0.011,-5.259,10.31,0.00177
5e-12,5000.0,2.5e-05,1.7e-05,0.0109,-5.272,10.31,0.00175
5e-12,5000.0,2.5e-05,1.8e-05,0.0108,-5.298,10.32,0.00174
5e-12,5000.0,2.5e-05,1.9e-05,0.0108,-5.34,10.34,0.00173
5e-12,5000.0,2.5e-05,2e-05,0.0107,-5.399,10.36,0.00172
