L,Wn,Wvar,DCPowerConsumption,OscillationFrequency,TuningRange,OutputPower,PhaseNoise
2.5e-10,1e-05,1e-05,0.011,42400000000.0,2390000000.0,6.309,-70.32
2.5e-10,1e-05,5e-06,0.011,44900000000.0,1510000000.0,6.494,-70.93
2.5e-10,1e-05,5.5e-06,0.011,44600000000.0,1620000000.0,6.489,-70.5
2.5e-10,1e-05,6e-06,0.011,44400000000.0,1690000000.0,6.472,-70.41
2.5e-10,1e-05,6.5e-06,0.011,44100000000.0,1810000000.0,6.454,-70.24
2.5e-10,1e-05,7e-06,0.011,43800000000.0,1890000000.0,6.435,-70.39
2.5e-10,1e-05,7.5e-06,0.011,43600000000.0,1970000000.0,6.415,-71.07
2.5e-10,1e-05,8e-06,0.011,43300000000.0,2060000000.0,6.395,-71.2
2.5e-10,1e-05,8.5e-06,0.011,43100000000.0,2130000000.0,6.37,-70.46
2.5e-10,1e-05,9e-06,0.011,42800000000.0,2220000000.0,6.345,-70.58
2.5e-10,1e-05,9.5e-06,0.011,42600000000.0,2300000000.0,6.325,-70.57
2.5e-10,1e-05,1.05e-05,0.011,42200000000.0,2440000000.0,6.287,-70.66
2.5e-10,1e-05,1.1e-05,0.011,41900000000.0,2500000000.0,6.263,-70.77
2.5e-10,1e-05,1.15e-05,0.011,41700000000.0,2570000000.0,6.238,-70.59
2.5e-10,1e-05,1.2e-05,0.011,41500000000.0,2610000000.0,6.21,-70.88
2.5e-10,1e-05,1.25e-05,0.011,41300000000.0,2660000000.0,6.184,-71.03
2.5e-10,1e-05,1.3e-05,0.011,41100000000.0,2720000000.0,6.16,-71.01
2.5e-10,1e-05,1.35e-05,0.011,40900000000.0,2750000000.0,6.127,-73.3
2.5e-10,1e-05,1.4e-05,0.011,40700000000.0,2780000000.0,6.101,-72.07
2.5e-10,1e-05,1.45e-05,0.011,40500000000.0,2830000000.0,6.066,-70.96
2.5e-10,1e-05,1.5e-05,0.011,40300000000.0,2850000000.0,6.037,-71.85
2.5e-10,1e-05,1.55e-05,0.011,40200000000.0,2890000000.0,6.002,-71.56
2.5e-10,1e-05,1.6e-05,0.011,40000000000.0,2900000000.0,5.963,-72.5
2.5e-10,1e-05,1.65e-05,0.011,39800000000.0,2930000000.0,5.926,-71.36
2.5e-10,1e-05,1.7e-05,0.011,39700000000.0,2920000000.0,5.886,-93.54
2.5e-10,1e-05,1.75e-05,0.011,39600000000.0,2920000000.0,5.842,-71.87
2.5e-10,1e-05,1.8e-05,0.011,39400000000.0,2940000000.0,5.799,-72.02
2.5e-10,1e-05,1.9e-05,0.011,39200000000.0,2910000000.0,5.702,-72.04
2.5e-10,1e-05,1.95e-05,0.011,39000000000.0,2890000000.0,5.65,-72.13
2.5e-10,1e-05,2e-05,0.011,38900000000.0,2850000000.0,5.594,-72.24
2.5e-10,1e-05,2.05e-05,0.011,38800000000.0,2800000000.0,5.533,-72.33
2.5e-10,1e-05,2.1e-05,0.011,38800000000.0,2750000000.0,5.471,-72.43
2.5e-10,1e-05,2.15e-05,0.011,38700000000.0,2680000000.0,5.406,-72.61
2.5e-10,1e-05,2.2e-05,0.011,38600000000.0,2600000000.0,5.336,-72.9
2.5e-10,1e-05,2.25e-05,0.011,38500000000.0,2510000000.0,5.266,-72.61
2.5e-10,1e-05,2.3e-05,0.011,38500000000.0,2410000000.0,5.188,-72.75
2.5e-10,1e-05,2.35e-05,0.011,38400000000.0,2290000000.0,5.105,-72.73
2.5e-10,1e-05,2.4e-05,0.011,38400000000.0,2170000000.0,5.017,-72.93
2.5e-10,1e-05,2.45e-05,0.011,38400000000.0,2040000000.0,4.925,-73.15
2.5e-10,1e-05,2.5e-05,0.011,38400000000.0,1900000000.0,4.828,-73.16
2.5e-10,1e-05,2.55e-05,0.011,38400000000.0,1740000000.0,4.726,-73.23
2.5e-10,1e-05,2.6e-05,0.011,38400000000.0,1580000000.0,4.619,-73.47
2.5e-10,1e-05,2.65e-05,0.011,38400000000.0,1420000000.0,4.506,-72.9
2.5e-10,1e-05,2.7e-05,0.011,38400000000.0,1250000000.0,4.387,-72.34
2.5e-10,1e-05,2.75e-05,0.011,38500000000.0,1080000000.0,4.264,-72.28
2.5e-10,1e-05,2.8e-05,0.011,38500000000.0,950000000.0,4.135,-72.32
2.5e-10,1e-05,2.85e-05,0.011,38600000000.0,833000000.0,4.005,-72.73
2.5e-10,1e-05,2.9e-05,0.011,38600000000.0,709000000.0,3.878,-73.55
2.5e-10,1e-05,2.95e-05,0.011,38700000000.0,621000000.0,3.742,-79.16
2.5e-10,1e-05,3e-05,0.011,38800000000.0,534000000.0,3.609,-75.04
2.5e-10,1.05e-05,1e-05,0.0109,41300000000.0,2210000000.0,6.393,-70.84
2.5e-10,1.05e-05,5e-06,0.0109,43700000000.0,1430000000.0,6.559,-70.89
2.5e-10,1.05e-05,5.5e-06,0.0109,43400000000.0,1540000000.0,6.549,-70.74
2.5e-10,1.05e-05,6e-06,0.0109,43200000000.0,1570000000.0,6.543,-70.8
2.5e-10,1.05e-05,6.5e-06,0.0109,42900000000.0,1710000000.0,6.524,-70.3
2.5e-10,1.05e-05,7e-06,0.0109,42700000000.0,1790000000.0,6.506,-70.26
2.5e-10,1.05e-05,7.5e-06,0.0109,42400000000.0,1880000000.0,6.486,-71.2
2.5e-10,1.05e-05,8.5e-06,0.0109,42000000000.0,1990000000.0,6.456,-70.18
2.5e-10,1.05e-05,9e-06,0.0109,41800000000.0,2070000000.0,6.439,-71.67
2.5e-10,1.05e-05,9.5e-06,0.0109,41500000000.0,2150000000.0,6.412,-70.54
2.5e-10,1.05e-05,1.05e-05,0.0109,41100000000.0,2280000000.0,6.37,-86.49
2.5e-10,1.05e-05,1.1e-05,0.0109,40900000000.0,2310000000.0,6.352,-71.37
2.5e-10,1.05e-05,1.15e-05,0.0109,40700000000.0,2380000000.0,6.326,-71.03
2.5e-10,1.05e-05,1.2e-05,0.0109,40500000000.0,2430000000.0,6.305,-71.01
2.5e-10,1.05e-05,1.25e-05,0.0109,40300000000.0,2460000000.0,6.28,-71.58
2.5e-10,1.05e-05,1.3e-05,0.0109,40100000000.0,2510000000.0,6.254,-71.04
2.5e-10,1.05e-05,1.35e-05,0.0109,39900000000.0,2560000000.0,6.225,-71.14
2.5e-10,1.05e-05,1.4e-05,0.0109,39700000000.0,2600000000.0,6.194,-70.98
2.5e-10,1.05e-05,1.45e-05,0.0109,39600000000.0,2610000000.0,6.166,-71.87
2.5e-10,1.05e-05,1.5e-05,0.0109,39400000000.0,2660000000.0,6.132,-71.11
2.5e-10,1.05e-05,1.55e-05,0.0109,39200000000.0,2670000000.0,6.099,-71.55
2.5e-10,1.05e-05,1.6e-05,0.0109,39100000000.0,2710000000.0,6.064,-71.28
2.5e-10,1.05e-05,1.65e-05,0.0109,38900000000.0,2720000000.0,6.026,-72.37
2.5e-10,1.05e-05,1.7e-05,0.0109,38800000000.0,2730000000.0,5.988,-72.18
2.5e-10,1.05e-05,1.75e-05,0.0109,38600000000.0,2720000000.0,5.946,-72.07
2.5e-10,1.05e-05,1.8e-05,0.0109,38500000000.0,2730000000.0,5.902,-72.19
2.5e-10,1.05e-05,1.85e-05,0.0109,38400000000.0,2730000000.0,5.857,-72.44
2.5e-10,1.05e-05,1.95e-05,0.0109,38200000000.0,2690000000.0,5.757,-72.49
2.5e-10,1.05e-05,2e-05,0.0109,38100000000.0,2650000000.0,5.702,-72.57
2.5e-10,1.05e-05,2.05e-05,0.0109,38000000000.0,2610000000.0,5.645,-72.65
2.5e-10,1.05e-05,2.1e-05,0.0109,37900000000.0,2550000000.0,5.583,-72.71
2.5e-10,1.05e-05,2.15e-05,0.0109,37800000000.0,2490000000.0,5.519,-72.88
2.5e-10,1.05e-05,2.2e-05,0.0109,37700000000.0,2410000000.0,5.449,-72.91
2.5e-10,1.05e-05,2.25e-05,0.0109,37700000000.0,2320000000.0,5.376,-72.99
2.5e-10,1.05e-05,2.3e-05,0.0109,37600000000.0,2220000000.0,5.3,-73.09
2.5e-10,1.05e-05,2.35e-05,0.0109,37600000000.0,2110000000.0,5.218,-73.21
2.5e-10,1.05e-05,2.4e-05,0.0109,37600000000.0,2010000000.0,5.128,-73.5
2.5e-10,1.05e-05,2.45e-05,0.0109,37600000000.0,1870000000.0,5.038,-73.59
2.5e-10,1.05e-05,2.5e-05,0.0109,37500000000.0,1740000000.0,4.94,-73.64
2.5e-10,1.05e-05,2.55e-05,0.0109,37500000000.0,1600000000.0,4.834,-73.97
2.5e-10,1.05e-05,2.6e-05,0.0109,37600000000.0,1460000000.0,4.724,-73.96
2.5e-10,1.05e-05,2.65e-05,0.0109,37600000000.0,1310000000.0,4.609,-73.65
2.5e-10,1.05e-05,2.7e-05,0.0109,37600000000.0,1150000000.0,4.492,-73.57
2.5e-10,1.05e-05,2.75e-05,0.0109,37600000000.0,996000000.0,4.363,-72.79
2.5e-10,1.05e-05,2.8e-05,0.0109,37700000000.0,868000000.0,4.239,-73.57
2.5e-10,1.05e-05,2.85e-05,0.0109,37700000000.0,757000000.0,4.109,-73.95
2.5e-10,1.05e-05,2.9e-05,0.0109,37800000000.0,645000000.0,3.974,-74.11
2.5e-10,1.05e-05,2.95e-05,0.0109,37900000000.0,563000000.0,3.836,-74.08
2.5e-10,1.05e-05,3e-05,0.0109,38000000000.0,483000000.0,3.706,-74.67
2.5e-10,1.1e-05,1e-05,0.0107,40300000000.0,2070000000.0,6.463,-71.24
2.5e-10,1.1e-05,5.5e-06,0.0107,42300000000.0,1430000000.0,6.598,-71.21
2.5e-10,1.1e-05,6e-06,0.0107,42100000000.0,1500000000.0,6.583,-71.47
2.5e-10,1.1e-05,6.5e-06,0.0107,41800000000.0,1610000000.0,6.569,-71.19
2.5e-10,1.1e-05,7e-06,0.0107,41600000000.0,1680000000.0,6.562,-70.98
2.5e-10,1.1e-05,7.5e-06,0.0107,41400000000.0,1730000000.0,6.546,-70.59
2.5e-10,1.1e-05,8e-06,0.0107,41100000000.0,1800000000.0,6.532,-70.65
2.5e-10,1.1e-05,8.5e-06,0.0107,40900000000.0,1870000000.0,6.515,-71.08
2.5e-10,1.1e-05,9e-06,0.0107,40700000000.0,1940000000.0,6.499,-71.1
2.5e-10,1.1e-05,9.5e-06,0.0107,40500000000.0,2000000000.0,6.483,-71.4
2.5e-10,1.1e-05,1.05e-05,0.0107,40100000000.0,2120000000.0,6.439,-75.11
2.5e-10,1.1e-05,1.1e-05,0.0107,39900000000.0,2170000000.0,6.417,-71.4
2.5e-10,1.1e-05,1.15e-05,0.0107,39700000000.0,2210000000.0,6.399,-71.61
2.5e-10,1.1e-05,1.2e-05,0.0107,39500000000.0,2270000000.0,6.376,-71.47
2.5e-10,1.1e-05,1.25e-05,0.0107,39300000000.0,2300000000.0,6.349,-71.65
2.5e-10,1.1e-05,1.3e-05,0.0107,39200000000.0,2330000000.0,6.326,-72.09
2.5e-10,1.1e-05,1.4e-05,0.0107,38800000000.0,2420000000.0,6.269,-71.31
2.5e-10,1.1e-05,1.45e-05,0.0107,38700000000.0,2460000000.0,6.24,-71.75
2.5e-10,1.1e-05,1.5e-05,0.0107,38500000000.0,2480000000.0,6.209,-71.98
2.5e-10,1.1e-05,1.55e-05,0.0107,38400000000.0,2510000000.0,6.177,-72.14
2.5e-10,1.1e-05,1.6e-05,0.0107,38200000000.0,2510000000.0,6.142,-72.56
2.5e-10,1.1e-05,1.65e-05,0.0107,38100000000.0,2530000000.0,6.107,-72.34
2.5e-10,1.1e-05,1.7e-05,0.0107,37900000000.0,2540000000.0,6.066,-71.81
2.5e-10,1.1e-05,1.75e-05,0.0107,37800000000.0,2530000000.0,6.027,-72.79
2.5e-10,1.1e-05,1.8e-05,0.0107,37700000000.0,2530000000.0,5.983,-72.47
2.5e-10,1.1e-05,1.85e-05,0.0107,37600000000.0,2540000000.0,5.938,-72.76
2.5e-10,1.1e-05,1.9e-05,0.0107,37400000000.0,2520000000.0,5.889,-72.75
2.5e-10,1.1e-05,1.95e-05,0.0107,37300000000.0,2490000000.0,5.838,-72.88
2.5e-10,1.1e-05,2e-05,0.0107,37300000000.0,2460000000.0,5.784,-73.0
2.5e-10,1.1e-05,2.05e-05,0.0107,37200000000.0,2420000000.0,5.726,-73.16
2.5e-10,1.1e-05,2.1e-05,0.0107,37100000000.0,2360000000.0,5.665,-73.2
2.5e-10,1.1e-05,2.15e-05,0.0107,37000000000.0,2310000000.0,5.601,-73.37
2.5e-10,1.1e-05,2.2e-05,0.0107,37000000000.0,2230000000.0,5.531,-73.47
2.5e-10,1.1e-05,2.25e-05,0.0107,36900000000.0,2150000000.0,5.457,-73.58
2.5e-10,1.1e-05,2.3e-05,0.0107,36900000000.0,2060000000.0,5.382,-73.8
2.5e-10,1.1e-05,2.35e-05,0.0107,36800000000.0,1950000000.0,5.295,-73.93
2.5e-10,1.1e-05,2.4e-05,0.0107,36800000000.0,1840000000.0,5.208,-73.98
2.5e-10,1.1e-05,2.45e-05,0.0107,36800000000.0,1730000000.0,5.114,-74.33
2.5e-10,1.1e-05,2.5e-05,0.0107,36800000000.0,1590000000.0,5.016,-74.34
2.5e-10,1.1e-05,2.55e-05,0.0107,36800000000.0,1470000000.0,4.909,-73.72
2.5e-10,1.1e-05,2.6e-05,0.0107,36800000000.0,1340000000.0,4.794,-74.75
2.5e-10,1.1e-05,2.65e-05,0.0107,36800000000.0,1200000000.0,4.68,-74.34
2.5e-10,1.1e-05,2.7e-05,0.0107,36800000000.0,1060000000.0,4.557,-74.09
2.5e-10,1.1e-05,2.75e-05,0.0107,36900000000.0,913000000.0,4.427,-73.9
2.5e-10,1.1e-05,2.8e-05,0.0107,36900000000.0,794000000.0,4.302,-74.79
2.5e-10,1.1e-05,2.9e-05,0.0107,37000000000.0,593000000.0,4.028,-74.13
2.5e-10,1.1e-05,2.95e-05,0.0107,37100000000.0,511000000.0,3.893,-72.88
2.5e-10,1.1e-05,3e-05,0.0107,37200000000.0,440000000.0,3.764,-75.73
2.5e-10,1.15e-05,1e-05,0.0106,39400000000.0,1940000000.0,6.505,-72.75
2.5e-10,1.15e-05,5e-06,0.0106,41500000000.0,1260000000.0,6.626,-72.14
2.5e-10,1.15e-05,5.5e-06,0.0106,41300000000.0,1310000000.0,6.618,-72.24
2.5e-10,1.15e-05,6e-06,0.0106,41100000000.0,1400000000.0,6.609,-72.35
2.5e-10,1.15e-05,6.5e-06,0.0106,40800000000.0,1470000000.0,6.603,-72.07
2.5e-10,1.15e-05,7e-06,0.0106,40600000000.0,1580000000.0,6.594,-71.92
2.5e-10,1.15e-05,7.5e-06,0.0106,40400000000.0,1630000000.0,6.578,-73.54
2.5e-10,1.15e-05,8e-06,0.0106,40200000000.0,1720000000.0,6.565,-71.25
2.5e-10,1.15e-05,8.5e-06,0.0106,40000000000.0,1760000000.0,6.55,-71.89
2.5e-10,1.15e-05,9e-06,0.0106,39800000000.0,1840000000.0,6.539,-71.91
2.5e-10,1.15e-05,9.5e-06,0.0106,39600000000.0,1880000000.0,6.524,-71.37
2.5e-10,1.15e-05,1.05e-05,0.0106,39200000000.0,1980000000.0,6.487,-72.4
2.5e-10,1.15e-05,1.1e-05,0.0106,39000000000.0,2040000000.0,6.468,-71.84
2.5e-10,1.15e-05,1.15e-05,0.0106,38800000000.0,2090000000.0,6.448,-71.99
2.5e-10,1.15e-05,1.2e-05,0.0106,38600000000.0,2130000000.0,6.424,-73.07
2.5e-10,1.15e-05,1.25e-05,0.0106,38500000000.0,2170000000.0,6.401,-71.62
2.5e-10,1.15e-05,1.35e-05,0.0106,38100000000.0,2230000000.0,6.351,-72.26
2.5e-10,1.15e-05,1.4e-05,0.0106,38000000000.0,2260000000.0,6.325,-72.41
2.5e-10,1.15e-05,1.45e-05,0.0106,37800000000.0,2290000000.0,6.294,-72.38
2.5e-10,1.15e-05,1.5e-05,0.0106,37700000000.0,2320000000.0,6.266,-72.78
2.5e-10,1.15e-05,1.55e-05,0.0106,37500000000.0,2330000000.0,6.232,-72.66
2.5e-10,1.15e-05,1.6e-05,0.0106,37400000000.0,2340000000.0,6.197,-72.67
2.5e-10,1.15e-05,1.65e-05,0.0106,37200000000.0,2370000000.0,6.162,-72.9
2.5e-10,1.15e-05,1.7e-05,0.0106,37100000000.0,2380000000.0,6.124,-73.14
2.5e-10,1.15e-05,1.75e-05,0.0106,37000000000.0,2370000000.0,6.085,-73.01
2.5e-10,1.15e-05,1.8e-05,0.0106,36900000000.0,2370000000.0,6.041,-72.47
2.5e-10,1.15e-05,1.9e-05,0.0106,36700000000.0,2330000000.0,5.948,-73.35
2.5e-10,1.15e-05,1.95e-05,0.0106,36600000000.0,2320000000.0,5.897,-73.5
2.5e-10,1.15e-05,2e-05,0.0106,36500000000.0,2280000000.0,5.842,-73.51
2.5e-10,1.15e-05,2.05e-05,0.0106,36400000000.0,2250000000.0,5.784,-73.81
2.5e-10,1.15e-05,2.1e-05,0.0106,36300000000.0,2190000000.0,5.721,-73.81
2.5e-10,1.15e-05,2.15e-05,0.0106,36300000000.0,2140000000.0,5.655,-73.98
2.5e-10,1.15e-05,2.2e-05,0.0106,36200000000.0,2060000000.0,5.585,-74.12
2.5e-10,1.15e-05,2.25e-05,0.0106,36200000000.0,1990000000.0,5.51,-74.28
2.5e-10,1.15e-05,2.3e-05,0.0106,36100000000.0,1890000000.0,5.432,-74.41
2.5e-10,1.15e-05,2.35e-05,0.0106,36100000000.0,1800000000.0,5.344,-74.71
2.5e-10,1.15e-05,2.4e-05,0.0106,36100000000.0,1690000000.0,5.258,-74.8
2.5e-10,1.15e-05,2.45e-05,0.0106,36000000000.0,1580000000.0,5.161,-75.2
2.5e-10,1.15e-05,2.5e-05,0.0106,36000000000.0,1480000000.0,5.054,-75.95
2.5e-10,1.15e-05,2.55e-05,0.0106,36000000000.0,1360000000.0,4.947,-76.92
2.5e-10,1.15e-05,2.6e-05,0.0106,36100000000.0,1240000000.0,4.829,-75.83
2.5e-10,1.15e-05,2.65e-05,0.0106,36100000000.0,1110000000.0,4.71,-75.85
2.5e-10,1.15e-05,2.7e-05,0.0106,36100000000.0,981000000.0,4.585,-75.54
2.5e-10,1.15e-05,2.75e-05,0.0106,36200000000.0,845000000.0,4.458,-75.5
2.5e-10,1.15e-05,2.8e-05,0.0106,36200000000.0,729000000.0,4.33,-75.95
2.5e-10,1.15e-05,2.85e-05,0.0106,36300000000.0,637000000.0,4.19,-96.91
2.5e-10,1.15e-05,2.9e-05,0.0106,36300000000.0,544000000.0,4.056,-76.83
2.5e-10,1.15e-05,2.95e-05,0.0106,36400000000.0,470000000.0,3.919,-79.24
2.5e-10,1.15e-05,3e-05,0.0106,36500000000.0,406000000.0,3.783,-75.15
2.5e-10,1.2e-05,1e-05,0.0105,38500000000.0,1840000000.0,6.528,-74.01
2.5e-10,1.2e-05,5e-06,0.0105,40600000000.0,1160000000.0,6.62,-73.7
2.5e-10,1.2e-05,5.5e-06,0.0105,40300000000.0,1250000000.0,6.616,-77.77
2.5e-10,1.2e-05,6e-06,0.0105,40100000000.0,1340000000.0,6.61,-73.14
2.5e-10,1.2e-05,6.5e-06,0.0105,39900000000.0,1450000000.0,6.605,-72.92
2.5e-10,1.2e-05,7e-06,0.0105,39700000000.0,1490000000.0,6.605,-72.73
2.5e-10,1.2e-05,7.5e-06,0.0105,39500000000.0,1550000000.0,6.594,-72.78
2.5e-10,1.2e-05,8e-06,0.0105,39300000000.0,1600000000.0,6.585,-73.17
2.5e-10,1.2e-05,8.5e-06,0.0105,39100000000.0,1670000000.0,6.573,-72.68
2.5e-10,1.2e-05,9e-06,0.0105,38900000000.0,1730000000.0,6.562,-72.71
2.5e-10,1.2e-05,9.5e-06,0.0105,38700000000.0,1780000000.0,6.548,-72.66
2.5e-10,1.2e-05,1.05e-05,0.0105,38300000000.0,1870000000.0,6.515,-72.75
2.5e-10,1.2e-05,1.1e-05,0.0105,38100000000.0,1920000000.0,6.496,-72.62
2.5e-10,1.2e-05,1.15e-05,0.0105,38000000000.0,1960000000.0,6.477,-72.73
2.5e-10,1.2e-05,1.2e-05,0.0105,37800000000.0,2000000000.0,6.457,-72.9
2.5e-10,1.2e-05,1.25e-05,0.0105,37600000000.0,2040000000.0,6.433,-72.63
2.5e-10,1.2e-05,1.3e-05,0.0105,37500000000.0,2080000000.0,6.409,-72.55
2.5e-10,1.2e-05,1.35e-05,0.0105,37300000000.0,2100000000.0,6.386,-73.03
2.5e-10,1.2e-05,1.4e-05,0.0105,37200000000.0,2110000000.0,6.358,-73.04
2.5e-10,1.2e-05,1.45e-05,0.0105,37000000000.0,2160000000.0,6.329,-73.12
2.5e-10,1.2e-05,1.5e-05,0.0105,36900000000.0,2180000000.0,6.299,-73.4
2.5e-10,1.2e-05,1.55e-05,0.0105,36800000000.0,2190000000.0,6.27,-73.47
2.5e-10,1.2e-05,1.6e-05,0.0105,36600000000.0,2210000000.0,6.234,-73.46
2.5e-10,1.2e-05,1.65e-05,0.0105,36500000000.0,2230000000.0,6.198,-73.63
2.5e-10,1.2e-05,1.7e-05,0.0105,36400000000.0,2240000000.0,6.159,-73.61
2.5e-10,1.2e-05,1.75e-05,0.0105,36300000000.0,2210000000.0,6.12,-73.6
2.5e-10,1.2e-05,1.8e-05,0.0105,36200000000.0,2210000000.0,6.079,-74.56
2.5e-10,1.2e-05,1.85e-05,0.0105,36100000000.0,2200000000.0,6.032,-73.85
2.5e-10,1.2e-05,1.9e-05,0.0105,36000000000.0,2200000000.0,5.981,-74.4
2.5e-10,1.2e-05,1.95e-05,0.0105,35900000000.0,2170000000.0,5.931,-74.64
2.5e-10,1.2e-05,2e-05,0.0105,35800000000.0,2130000000.0,5.877,-74.97
2.5e-10,1.2e-05,2.05e-05,0.0105,35700000000.0,2090000000.0,5.817,-73.51
2.5e-10,1.2e-05,2.1e-05,0.0105,35600000000.0,2030000000.0,5.754,-74.83
2.5e-10,1.2e-05,2.15e-05,0.0105,35600000000.0,1970000000.0,5.685,-74.74
2.5e-10,1.2e-05,2.2e-05,0.0105,35500000000.0,1910000000.0,5.614,-74.95
2.5e-10,1.2e-05,2.25e-05,0.0105,35500000000.0,1830000000.0,5.537,-75.17
2.5e-10,1.2e-05,2.3e-05,0.0105,35400000000.0,1760000000.0,5.453,-75.51
2.5e-10,1.2e-05,2.35e-05,0.0105,35400000000.0,1660000000.0,5.368,-75.55
2.5e-10,1.2e-05,2.4e-05,0.0105,35400000000.0,1570000000.0,5.27,-75.85
2.5e-10,1.2e-05,2.45e-05,0.0105,35400000000.0,1460000000.0,5.173,-76.54
2.5e-10,1.2e-05,2.5e-05,0.0105,35400000000.0,1370000000.0,5.066,-77.53
2.5e-10,1.2e-05,2.55e-05,0.0105,35400000000.0,1260000000.0,4.958,-75.57
2.5e-10,1.2e-05,2.6e-05,0.0105,35400000000.0,1150000000.0,4.835,-77.31
2.5e-10,1.2e-05,2.65e-05,0.0105,35400000000.0,1030000000.0,4.719,-77.09
